UBV CCD observations

  No    Ref    V       B-V     U-B

 0010    86  14.898   0.418   0.296
 0013    86  12.743   0.780   0.402
 0014    86  14.184   0.412   0.429
 0015    86  14.318   0.499   0.520
 0016    86  12.178   0.272  -0.205
 0017    86  14.900   0.622   0.580
 0018    86  14.015   0.471   0.412
 0019    86  14.527   0.409   0.004
 0020    86  12.713   1.089   1.418
 0022    86  13.006   0.344   0.035
 0023    86  13.791   0.497   0.353
 0024    86  11.759   0.314  -0.241
 0025    86  15.383   0.706         
 0026    86  12.853   0.359  -0.141
 0029    86  14.562   0.840   0.425
 0030    86  13.805   0.494   0.506
 0031    86  14.291   0.859   0.495
 0032    86  14.489   0.546   0.621
 0033    86  12.510   0.456  -0.133
 0035    86  13.587   0.494   0.363
 0036    86  15.341   0.871   0.700
 0040    86  14.912   0.973   0.500
 0041    86  15.067   0.827   0.206
 0042    86  14.492   0.567   0.507
 0043    86  14.616   0.648   0.632
 0044    86  15.122   0.806   0.743
 0045    86  13.917   0.507   0.371
 0046    86  14.462   0.521   0.427
 0047    86  13.666   0.431   0.197
 0051    86  15.240   0.787   0.935
 0052    86  15.493   1.033   0.436
 0053    86  15.309   1.833         
 0054    86  15.839   0.989   0.404
 0056    86  14.408   0.782   0.481
 0057    86  14.844   0.986   0.706
 0058    86  13.798   0.443   0.207
 0059    86  14.616   0.727   0.520
 0060    86  15.333   0.662   0.584
 0061    86  11.660   0.378  -0.321
 0062    86  14.296   0.536   0.447
 0063    86  11.844   0.383  -0.170
 0064    86  13.450   0.494   0.061
 0065    86  14.852   0.568   0.618
 0067    86  13.400   0.549   0.379
 0068    86  14.060   0.523   0.386
 0069    86  14.485   0.587   0.074
 0070    86  15.201   0.732   0.673
 0071    86  12.241   0.429  -0.137
 0072    86  13.366   0.424   0.076
 0073    86  13.866   0.618   0.194
 0074    86  14.878   0.657   0.554
 0076    86  14.325   0.675   0.512
 0077    86  15.023   1.136   0.922
 0078    86  14.723   0.579   0.499
 0079    86  14.209   0.558   0.436
 0083    86  15.630   0.832   0.589
 0084    86  14.934   0.781   0.394
 0085    86  15.106   0.819   0.600
 0086    86  14.308   0.622   0.382
 0089    86  13.944   0.479   0.419
 0090    86  13.684   0.725   0.374
 0091    86  14.582   0.542   0.591
 0092    86  14.219   0.564   0.509
 0093    86  12.418   0.445  -0.138
 0095    86  15.483   1.638   1.646
 0096    86  12.264   0.458  -0.163
 0097    86  13.117   0.498  -0.071
 0098    86  13.175   0.695   0.255
 0099    86  13.316   1.237   1.228
 0100    86  14.912   0.642   0.568
 0101    86  14.933   0.856   0.592
 0102    86  14.408   0.772   0.252
 0104    86  15.485   0.891   0.188
 0105    86  11.110   0.374  -0.297
 0106    86  14.129   0.563   0.577
 0107    86  15.006   1.967         
 0108    86  13.170   0.719   0.104
 0109    86  13.017   0.534   0.331
 0112    86  15.071   0.687   0.633
 0113    86  14.000   0.481   0.326
 0114    86  14.134   0.516   0.365
 0115    86  11.413   0.673   0.304
 0116    86  13.990   0.491   0.372
 0117    86  14.703   0.552   0.379
 0119    86  13.963   1.863         
 0121    86  12.132   0.399  -0.089
 0124    86  14.676   1.447         
 0125    86  11.770   0.375  -0.276
 0126    86  13.612   0.407   0.185
 0127    86  13.291   0.381   0.036
 0128    86  13.976   0.660   0.250
 0130    86  13.765   0.555   0.444
 0131    86  13.297   0.426   0.161
 0132    86  14.441   0.544   0.396
 0133    86  15.504   0.712   0.601
 0136    86  15.305   0.756   0.427
 0137    86  14.122   0.643   0.305
 0138    86  14.458   0.806   0.613
 0139    86  12.644   0.780         
 0140    86  13.397   0.726   0.364
 0141    86  13.789   0.575   0.392
 0142    86  14.289   2.155         
 0143    86  14.615   0.894   0.339
 0144    86  14.592   0.845   0.572
 0145    86  13.242   0.449   0.032
 0146    86  14.159   0.433   0.321
 0147    86  12.875   0.337  -0.103
 0148    86  13.224   0.280  -0.168
 0149    86  14.378   0.953   0.783
 0150    86  14.225   1.481   0.700
 0151    86  12.087   0.320         
 0152    86  12.768   1.396   1.126
 0172    86  10.890   0.377  -0.183
 0173    86  11.132   0.225   0.133
 0174    86  12.569   0.394   0.064
 0175    86  12.754   0.471   0.210
 0176    86  12.783   0.616   0.140
 0177    86  12.874   0.512  -0.101
 0178    86  12.849   0.392  -0.216
 0179    86  13.112   0.496   0.010
 0180    86  13.618   0.568   0.256
 0181    86  13.923   1.587   1.670
 0182    86  14.192   0.577   0.485
 0183    86  14.016   0.549   0.314
 0184    86  14.120   0.535   0.309
 0185    86  14.394   0.646   0.488
 0186    86  14.617   0.668   0.610
 0187    86  14.620   0.854   0.376
 0188    86  14.734   1.574   2.041
 0189    86  15.006   0.695   0.510
 0190    86  14.915   0.736   0.749
 0191    86  14.983   0.655   0.615
 0192    86  15.233   0.703   0.416
 0193    86  15.238   0.991   0.506
 0206    86  16.918   1.012   0.498
 0207    86  16.833   1.129   0.493
 0208    86  17.319   1.152         
 0209    86  16.472   0.989   0.606
 0210    86  17.204   1.199         
 0211    86  15.278   0.683   0.612
 0213    86  16.329   0.915   0.757
 0214    86  17.518   1.152         
 0215    86  17.296   0.911         
 0216    86  15.990   0.871   0.489
 0218    86  16.475   1.062         
 0219    86  17.162   1.232         
 0220    86  17.574   1.239         
 0221    86  16.882   1.067         
 0222    86  16.185   0.989   0.594
 0223    86  16.395   1.109   1.014
 0224    86  16.963   1.721         
 0225    86  17.302   1.103         
 0226    86  16.984   1.004   0.301
 0227    86  15.195   0.797   0.561
 0228    86  16.835   1.003   0.010
 0229    86  15.938   1.311         
 0230    86  17.005   1.292         
 0231    86  15.936   1.740         
 0232    86  17.195   1.030         
 0233    86  16.008   1.420         
 0234    86  17.189   1.102         
 0235    86  15.528   0.845   0.585
 0236    86  16.514   1.241         
 0237    86  16.487   0.988         
 0238    86  16.950   0.990         
 0239    86  17.343   1.150         
 0240    86  15.456   0.950   0.769
 0241    86  16.912   1.173         
 0242    86  16.917   1.077         
 0243    86  15.545   0.933   0.775
 0244    86  16.429   0.979   0.990
 0245    86  14.847   0.607   0.599
 0246    86  16.115   0.751   0.918
 0247    86  15.219   0.918   0.702
 0248    86  16.419   1.704         
 0249    86  17.499   1.266         
 0250    86  16.309   1.043   0.827
 0251    86  15.606   0.817   0.611
 0252    86  16.564   1.120         
 0253    86  16.712   1.013         
 0254    86  16.209   1.739         
 0255    86  16.837   1.160         
 0256    86  16.691   1.108         
 0257    86  16.224   1.154   0.950
 0259    86  17.021   1.315         
 0260    86  16.657   0.963   0.048
 0261    86  17.233   1.106         
 0262    86  16.255   1.108   0.838
 0263    86  17.200   1.171         
 0264    86  15.630   0.814   0.767
 0265    86  15.996   1.027   0.301
 0266    86  15.118   0.741   0.678
 0267    86  15.205   0.801   0.546
 0268    86  16.605   1.052         
 0269    86  14.660   1.932   2.173
 0270    86  14.856   0.652   0.478
 0271    86  15.205   1.007   0.513
 0272    86  16.311   0.969   0.536
 0273    86  16.420   1.184         
 0274    86  16.020   0.968   0.488
 0275    86  16.896   0.995   0.863
 0276    86  15.646   0.596   0.592
 0277    86  17.026   1.153   0.149
 0278    86  17.038   1.400         
 0279    86  17.012   1.079         
 0280    86  16.355   1.149         
 0281    86  16.043   1.251         
 0282    86  17.262   1.112         
 0283    86  17.301   1.156         
 0285    86  16.298   0.810   0.647
 0286    86  17.303   1.739         
 0287    86  16.469   1.032   0.097
 0288    86  17.114   0.739         
 0289    86  17.195   0.993         
 0290    86  16.264   0.754   0.987
 0291    86  15.805   1.137         
 0292    86  17.438   1.055         
 0293    86  16.762   0.814  -0.008
 0294    86  16.919   1.457         
 0295    86  16.965   1.042         
 0296    86  16.827   0.876  -0.037
 0297    86  16.213   0.770   0.288
 0298    86  16.456   0.898   0.110
 0300    86  16.703   0.979   0.683
 0301    86  17.446   1.129         
 0302    86  16.273   0.893   0.362
 0303    86  16.572   0.874   0.589
 0304    86  15.705   1.817         
 0305    86  16.909   1.166   0.420
 0306    86  16.448   1.222   0.370
 0307    86  15.547   1.604         
 0308    86  16.517   0.915   0.162
 0316    86  16.213   1.054   0.820
 0317    86  16.329   1.238   1.112
 0319    86  16.133   0.715   0.766
 0320    86  16.265   1.133         
 0329    86  15.471   1.032   0.899
 0330    86  16.682   1.007         
 0331    86  15.493   0.769   0.638
 0332    86  15.825   0.837   0.579
 0377    86  14.949   0.441  -0.005
 0378    86  15.254   0.875   0.464
 0379    86  15.376   0.588   0.530
 0380    86  15.480   1.110   0.964
 0381    86  15.835   0.678   0.751
 1001    86  18.088   1.109         
 1002    86  19.777   1.363         
 1004    86  15.857   0.596   0.519
 1005    86  16.006   1.610         
 1006    86  17.389   1.154         
 1007    86  18.259   1.927         
 1008    86  19.134   1.736         
 1009    86  18.304   1.103         
 1010    86  18.158   0.874         
 1011    86  19.164   1.273         
 1012    86  19.182   1.919         
 1013    86  17.427   1.825         
 1014    86  16.420   1.520         
 1015    86  17.485   0.856         
 1016    86  15.662   1.840         
 1017    86  18.910   2.107         
 1018    86  18.506   1.311         
 1019    86  19.276   1.731         
 1020    86  17.859   1.167         
 1021    86  17.497   0.969         
 1022    86  19.065   1.474         
 1023    86  16.234   1.069         
 1024    86  17.208   1.743         
 1026    86  19.423   1.199         
 1027    86  19.848   0.638         
 1028    86  17.228   1.048         
 1029    86  17.583   1.231         
 1030    86  18.670   1.529         
 1031    86  18.372   1.005         
 1034    86  18.430   1.793         
 1035    86  19.359   1.292         
 1036    86  17.503   1.198         
 1037    86  14.850   0.944   0.690
 1038    86  18.713   1.162         
 1039    86  17.940   1.069         
 1040    86  20.001   0.829         
 1041    86  19.782   0.676         
 1042    86  16.587   1.638         
 1043    86  16.173   0.978   1.077
 1044    86  17.909   1.830         
 1045    86  18.331   1.092         
 1046    86  19.007   1.728         
 1047    86  16.151   1.842         
 1048    86  18.079   1.060         
 1049    86  19.244   1.615         
 1050    86  17.875   0.961         
 1052    86  19.550   1.067         
 1053    86  17.974   1.110         
 1055    86  19.558   1.233         
 1056    86  17.128   1.189         
 1057    86  18.701   1.605         
 1058    86  17.788   1.643         
 1059    86  17.931   1.247         
 1060    86  15.715   0.810   0.657
 1061    86  17.171   1.064         
 1062    86  19.177   1.400         
 1063    86  17.484   1.084         
 1064    86  19.084   1.163         
 1065    86  16.975   1.093         
 1066    86  17.883   1.159         
 1067    86  17.880   1.139         
 1068    86  16.708   1.229   0.474
 1069    86  17.829   1.445         
 1070    86  18.881   1.331         
 1071    86  17.130   0.678         
 1072    86  19.218   1.398         
 1074    86  18.450   1.298         
 1075    86  18.603   1.470         
 1076    86  19.959   1.217         
 1078    86  17.771   1.432         
 1079    86  18.525   1.827         
 1080    86  18.755   1.486         
 1081    86  18.310   1.143         
 1083    86  19.368   1.464         
 1084    86  18.387   1.149         
 1086    86  16.986   1.516         
 1087    86  17.772   0.948         
 1088    86  18.649   1.102         
 1090    86  18.613   1.321         
 1092    86  18.695   1.932         
 1093    86  19.720   1.484         
 1095    86  16.881   1.747         
 1096    86  18.303   1.393         
 1097    86  20.261   0.946         
 1099    86  16.924   1.999         
 1100    86  20.053   0.855         
 1101    86  17.221   1.104         
 1102    86  19.959   1.335         
 1103    86  17.754   1.194         
 1104    86  18.252   0.944         
 1105    86  17.500   1.074         
 1106    86  18.590   1.368         
 1107    86  15.857   1.618         
 1109    86  19.543   1.311         
 1110    86  17.473   1.218         
 1111    86  17.811   1.173         
 1112    86  17.894   1.157         
 1113    86  20.145   0.968         
 1114    86  17.270   1.216         
 1117    86  15.541   1.082   0.878
 1118    86  18.089   1.014         
 1119    86  19.011   1.515         
 1120    86  19.103   1.707         
 1121    86  16.497   0.898   0.392
 1122    86  18.062   1.258         
 1124    86  19.051   1.550         
 1125    86  17.091   1.173         
 1127    86  18.013   1.497         
 1130    86  14.135   0.690   0.192
 1131    86  17.448   1.297         
 1132    86  18.842   1.209         
 1133    86  17.594   1.332         
 1134    86  20.170   0.956         
 1135    86  17.488   1.105         
 1136    86  17.813   1.343         
 1137    86  17.197   1.192         
 1138    86  19.431   1.875         
 1139    86  19.229   1.237         
 1140    86  18.831   1.320         
 1142    86  17.827   1.142         
 1143    86  18.719   1.417         
 1146    86  19.501   1.216         
 1149    86  15.128   2.026         
 1150    86  15.986   1.246   0.704
 1152    86  19.481   1.013         
 1153    86  17.093   1.093         
 1155    86  17.752   1.032         
 1156    86  19.393   1.305         
 1157    86  18.159   1.238         
 1158    86  19.730   1.140         
 1159    86  19.974   1.562         
 1160    86  18.538   1.469         
 1161    86  13.763   1.745   1.887
 1162    86  17.781   1.083         
 1163    86  19.660   1.381         
 1164    86  18.637   1.048         
 1165    86  16.079   1.070   0.140
 1167    86  17.917   1.590         
 1168    86  16.618   1.469         
 1170    86  18.737   1.341         
 1171    86  17.501   1.209         
 1172    86  19.076   1.854         
 1173    86  19.100   1.022         
 1176    86  18.672   1.321         
 1178    86  19.171   1.918         
 1180    86  18.934   1.643         
 1181    86  17.316   1.550         
 1182    86  19.653   1.216         
 1183    86  18.250   1.035         
 1184    86  19.438   0.995         
 1185    86  19.208   1.512         
 1186    86  18.518   1.032         
 1187    86  19.031   1.296         
 1190    86  18.449   1.898         
 1191    86  19.083   1.217         
 1192    86  19.038   1.390         
 1193    86  19.782   1.012         
 1196    86  17.869   1.034         
 1197    86  18.951   1.353         
 1198    86  18.072   1.024         
 1199    86  19.108   1.050         
 1200    86  18.452   1.689         
 1203    86  18.303   1.219         
 1204    86  19.102   1.376         
 1205    86  18.087   1.459         
 1206    86  18.157   1.388         
 1210    86  17.942   1.471         
 1211    86  19.497   1.100         
 1212    86  17.849   1.140         
 1213    86  17.571   1.120         
 1214    86  17.565   1.603         
 1215    86  18.660   1.010         
 1216    86  18.925   1.084         
 1217    86  17.078   1.204         
 1218    86  18.411   1.552         
 1219    86  17.494   1.603         
 1220    86  18.855   1.325         
 1222    86  18.203   1.142         
 1223    86  17.836   1.198         
 1224    86  17.691   1.022         
 1225    86  18.648   1.373         
 1226    86  19.192   1.549         
 1227    86  17.739   1.218         
 1228    86  18.536   1.648         
 1229    86  16.384   1.282         
 1230    86  19.787   1.312         
 1232    86  17.683   0.955         
 1233    86  16.938   0.968         
 1234    86  18.163   0.868         
 1237    86  19.301   0.926         
 1238    86  16.131   1.352         
 1239    86  19.087   1.649         
 1240    86  20.392   1.047         
 1244    86  17.886   1.201         
 1245    86  19.341   1.301         
 1246    86  18.065   0.888         
 1247    86  17.764   1.358         
 1248    86  19.795   1.361         
 1252    86  17.728   0.961         
 1253    86  18.717   1.313         
 1254    86  18.288   1.341         
 1255    86  15.942   0.898   0.745
 1256    86  18.190   1.355         
 1258    86  19.327   1.242         
 1259    86  17.989   1.139         
 1260    86  19.702   1.291         
 1261    86  18.779   1.110         
 1263    86  17.039   0.837   0.484
 1264    86  19.348   1.221         
 1265    86  18.934   1.057         
 1268    86  18.815   1.013         
 1270    86  18.331   1.222         
 1271    86  19.020   1.252         
 1272    86  17.776   1.004         
 1273    86  19.137   1.522         
 1274    86  18.636   1.018         
 1275    86  18.753   1.407         
 1276    86  17.271   1.057         
 1277    86  17.580   0.774         
 1278    86  20.554   0.575         
 1279    86  18.714   1.383         
 1280    86  18.468   1.322         
 1282    86  19.003   1.325         
 1285    86  18.412   1.115         
 1286    86  17.732   1.077         
 1287    86  16.914   1.597         
 1288    86  16.487   0.908         
 1289    86  18.416   1.018         
 1290    86  18.503   1.035         
 1291    86  19.922   1.274         
 1292    86  19.044   1.303         
 1293    86  17.796   1.028         
 1294    86  19.736   1.105         
 1295    86  19.005   1.428         
 1296    86  17.933   1.804         
 1297    86  18.545   1.729         
 1298    86  18.968   1.020         
 1299    86  18.704   1.239         
 1300    86  19.306   1.356         
 1301    86  17.136   0.955   0.075
 1302    86  18.729   1.380         
 1303    86  17.672   1.133         
 1304    86  19.381   1.572         
 1305    86  17.939   1.461         
 1306    86  18.691   1.670         
 1307    86  17.787   1.075         
 1309    86  18.902   1.621         
 1310    86  18.369   1.192         
 1311    86  19.709   1.443         
 1312    86  18.859   1.358         
 1313    86  18.936   1.206         
 1314    86  18.457   1.216         
 1315    86  18.358   1.214         
 1317    86  19.337   1.212         
 1318    86  17.875   1.139         
 1319    86  18.242   1.289         
 1320    86  19.075   2.147         
 1321    86  17.785   0.746         
 1322    86  19.802   0.703         
 1323    86  19.570   1.169         
 1325    86  18.434   1.179         
 1326    86  18.469   1.072         
 1327    86  17.616   0.883         
 1329    86  18.938   1.524         
 1330    86  19.541   1.317         
 1331    86  17.519   1.546         
 1332    86  19.147   1.070         
 1333    86  19.372   1.526         
 1334    86  18.550   1.316         
 1337    86  18.061   1.114         
 1338    86  19.137   0.880         
 1339    86  18.484   1.174         
 1340    86  16.472   1.114         
 1342    86  18.344   1.460         
 1343    86  18.516   1.050         
 1345    86  16.126   2.678         
 1346    86  17.637   1.084         
 1347    86  18.836   1.421         
 1349    86  19.354   0.954         
 1350    86  15.881   1.147         
 1351    86  19.249   1.244         
 1352    86  20.120   1.337         
 1354    86  17.315   1.178         
 1355    86  17.820   1.067         
 1356    86  17.630   1.054         
 1357    86  16.655   1.454         
 1358    86  17.785   1.073         
 1359    86  18.716   1.193         
 1360    86  15.898   0.920   0.739
 1361    86  17.361   1.428         
 1362    86  18.794   1.514         
 1363    86  18.819   1.069         
 1364    86  17.744   1.093         
 1366    86  16.602   1.486         
 1367    86  18.031   1.894         
 1368    86  19.623   1.035         
 1369    86  19.333   1.163         
 1370    86  18.556   1.221         
 1371    86  17.591   1.162         
 1373    86  18.494   1.222         
 1374    86  18.573   1.243         
 1375    86  17.958   1.455         
 1376    86  17.987   1.074         
 1377    86  18.306   1.460         
 1378    86  19.345   1.099         
 1379    86  19.653   1.403         
 1380    86  20.159   0.710         
 1381    86  19.371   1.635         
 1382    86  18.942   1.198         
