UBV CCD observations

  No    Ref    V       B-V     U-B

 0001   266   7.997   1.340   1.110
 0002   266   9.061  -0.023  -0.469
 0003   266  12.096   0.276   0.163
 0003   505  11.854   0.248   0.406
 0004   266  10.153   0.003  -0.278
 0004   505  10.109  -0.024  -0.242
 0006    10  12.620   2.050   1.180
 0006   266  12.342   1.963  -0.629
 0006   505  12.266   1.256   0.947
 0007    10  12.540   0.320   0.080
 0007   266  12.540   0.345   0.057
 0007   505  12.569   2.063   1.816
 0008   266  12.895   0.461  -0.011
 0008   505  12.851   0.451  -0.023
 0009   266   9.072   0.026  -0.368
 0010   266  13.732   0.596  -0.020
 0010   505  13.694   0.597   0.008
 0011   266  14.181   1.180   0.502
 0011   505  14.162   1.204   0.745
 0012   266  12.101   0.228   0.154
 0012   505  12.505   0.891   0.310
 0013   266  12.594   0.824   0.520
 0013   505  12.037   0.250   0.136
 0014   505  16.964   0.950   0.030
 0015   266  14.359   0.492         
 0015   505  14.317   0.503   0.219
 0016   266  13.647   0.543  -0.082
 0016   505  13.604   0.559  -0.021
 0017   266  13.489   0.439   0.138
 0017   505  13.469   0.565  -0.009
 0018   266  13.873   0.652  -0.039
 0018   505  13.843   0.660   0.038
 0019   266  11.819   0.320   0.108
 0019   505  11.765   0.337   0.083
 0020   266  13.505   0.572  -0.085
 0021    10  15.710   0.930   0.660
 0021   505  16.193   0.611   0.301
 0022   266  14.094   0.664   0.007
 0022   505  14.066   0.668   0.074
 0023   266  12.831   0.390   0.007
 0023   505  12.510   0.326   0.076
 0024   266  11.720   0.125   0.182
 0024   505  11.868   0.681   0.047
 0025   266  11.308   0.145   0.131
 0025   505  11.664   0.149   0.145
 0026   266  12.533   0.282   0.093
 0026   505  12.459   0.321   0.074
 0027   266  13.717   0.532  -0.085
 0027   505  13.687   0.518  -0.045
 0028   266   8.662  -0.047         
 0029   266  13.579   0.515  -0.117
 0029   505  13.533   0.487  -0.050
 0030   266  11.974   0.247   0.147
 0030   505  11.968   0.218   0.132
 0031   266  13.709   0.647   0.040
 0031   505  13.828   0.552  -0.051
 0032   266  14.097   0.594  -0.016
 0033   266  13.846   0.557  -0.060
 0033   505  13.514   0.490  -0.063
 0034   266  10.253  -0.037  -0.258
 0034   505  10.245  -0.058  -0.238
 0035   266  11.221   0.068   0.097
 0035   505  11.203   0.050   0.070
 0036   266  13.788   0.579  -0.089
 0036   505  13.595   0.568   0.076
 0037   266  11.903   0.682   0.141
 0038   266  10.864   0.095   0.006
 0038   505  10.813   0.073  -0.003
 0039   266  12.274   1.249   0.719
 0040   266  12.960   0.450  -0.054
 0040   505  12.924   0.428  -0.034
 0041   266  10.309  -0.009  -0.229
 0041   505  10.302  -0.045  -0.201
 0042   266  13.527   0.504  -0.060
 0042   505  14.106   0.582  -0.042
 0043   266  14.840   0.610  -0.064
 0043   505  14.830   0.613  -0.052
 0044   266  12.732   0.951   0.619
 0044   505  12.725   0.936   0.544
 0045   266  11.644   0.341   0.011
 0045   505  11.608   0.308   0.028
 0046   266  11.722   0.192   0.135
 0046   505  11.718   0.157   0.131
 0047   266  14.124   0.607  -0.016
 0047   505  14.060   0.574         
 0048   266  12.416   0.482  -0.149
 0048   505  12.553   0.344   0.059
