UBV CCD observations

  No    Ref    V       B-V     U-B

 0001   353   7.228          -0.803
 0002   353   8.248   0.010  -0.773
 0003   353   8.700   0.010  -0.584
 0004   353   9.135   0.062  -0.590
 0005   353   9.531   0.086  -0.502
 0006   353   9.858   0.053  -0.594
 0007   353   9.897   0.095  -0.582
 0008   353  10.660   0.130  -0.401
 0009   353  10.770   0.205  -0.027
 0010   353  11.129   0.111  -0.370
 0011   353  11.379   0.675   0.165
 0012   353  11.665   0.235   0.182
 0013   353  11.505   0.170  -0.186
 0014   353  11.771   0.170  -0.102
 0015   353  11.807   0.229   0.099
 0016   353  11.802   0.187  -0.082
 0017   353  12.101   0.350   0.234
 0018   353  12.350   0.214   0.053
 0019   353  12.442   0.240   0.131
 0020   353  12.423   1.243   1.097
 0021   353  12.440   0.370   0.224
 0022   353  12.555   0.223   0.151
 0023   353  12.675   0.241   0.161
 0024   353  12.723   0.284   0.214
 0025   353  12.711   0.391   0.296
 0026   353  12.774   0.422   0.268
 0027   353  13.057   0.755   0.250
 0028   353  14.226   0.881   0.296
 0029   353  14.495   0.934   0.340
 0030   353   8.803   0.010  -0.613
 0031   353   9.150   0.594   0.173
 0032   353   9.612   0.071  -0.580
 0033   353   9.641   0.097  -0.616
 0034   353   9.953   0.051  -0.595
 0035   353   9.823   0.169   0.033
 0036   353  10.139   0.635  -0.260
 0037   353  11.222   0.165  -0.303
 0038   353  11.188   0.124  -0.449
 0039   353  11.342   0.135  -0.335
 0040   353  11.701   0.200  -0.118
 0041   353  12.135   0.230   0.060
 0042   353  12.067   0.385   0.258
 0043   353  12.115   0.304   0.259
 0046   353  12.310   0.570   0.244
 0047   353  12.420   0.208   0.065
 0048   353  12.438   0.202   0.074
 0049   353  12.338   0.201   0.034
 0050   353  12.733   0.289   0.203
 0051   353  12.708   0.275   0.189
 0052   353  13.003   1.610   0.400
 0053   353  12.968   0.457   0.276
 0054   353  13.904   1.391   0.623
 0055   353  14.030   0.922   0.650
 0056   353  13.995   0.840   0.283
 0057   353  13.941   0.835   0.226
 0058   353  14.057   1.224   1.095
 0059   353  14.236   0.860   0.283
 0060   353  14.161   0.602   0.205
 0061   353  14.248   0.747   0.480
 0062   353  14.418   0.818   0.245
 0063   353  14.508   0.896   0.329
 0064   353  14.698   0.828   0.304
 0066   353   9.851   0.095  -0.569
 0070   353  10.120   0.109  -0.509
 0072   353  11.672   0.174  -0.132
 0073   353  11.591   0.136  -0.158
 0074   353  11.720   0.151  -0.217
 0076   353  12.154   0.206   0.030
 0077   353  12.123   0.457  -0.023
 0078   353  11.878   0.556  -0.008
 0080   353  11.962   0.833   0.281
 0081   353  12.302   0.407   0.224
 1001   353  13.407   0.888   0.300
 1002   353  15.637   1.187   0.714
 1004   353  14.808   1.190   0.904
 1007   353  15.828   0.965   0.545
 1008   353  15.146   0.997   0.622
 1009   353  15.817   1.193   0.596
 1010   353  14.998   0.894   0.368
 1011   353  14.648   0.996   0.424
 1012   353  15.175   0.900   0.330
 1013   353  15.953   0.991   0.607
 1016   353  15.764   0.816   0.225
 1017   353  15.526   0.997   0.604
 1018   353  15.111   0.922   0.280
 1019   353  15.887   1.193   0.636
 1020   353  15.123   0.839   0.219
 1021   353  15.353   1.107   0.676
 1024   353  15.810   1.086   0.849
 1025   353  14.950   0.837   0.213
 1026   353  15.920   1.259   0.854
 1027   353  14.866   1.014   0.495
 1029   353  14.685   0.959   0.511
 1030   353  16.304   2.156         
 1031   353  14.819   0.937   0.581
 1032   353  14.079   1.113   0.477
 1033   353  12.215   0.297   0.188
 1035   353  15.121   0.957   0.605
 1036   353  14.426   0.769   0.404
 1037   353  15.109   1.078   0.562
 1038   353  13.863   0.659   0.207
 1039   353  13.703   0.578   0.224
 1040   353  15.220   0.955   0.539
 1041   353  13.136   0.651   0.157
 1042   353  13.537   1.035   0.754
 1043   353  12.451   0.255   0.219
 1044   353  14.123   0.788   0.302
 1045   353  15.826   0.884   0.338
 1046   353  14.716   0.928   0.425
 1047   353  15.227   1.170   0.702
 1048   353  14.483   0.700   0.142
 1049   353  15.880   1.107   0.926
 1050   353  15.779   1.018   0.781
 1051   353  14.153   0.617   0.128
 1052   353  12.526   0.201   0.117
 1053   353  14.882   0.732   0.163
 1054   353  14.918   0.878   0.685
 1055   353  13.842   0.777   0.543
 1056   353  12.645   0.506   0.252
 1057   353  14.471   1.811   0.893
 1058   353  13.673   1.735   1.560
 1059   353  15.718   0.928   0.478
 1061   353  13.152   0.671   0.155
 1062   353  15.975   0.902   0.376
 1063   353  15.703   0.999   0.629
 1064   353  15.183   1.094   0.812
 1065   353  15.746   1.006   0.659
