UBV CCD observations

  No    Ref    V       B-V     U-B

 0002    86  14.411   0.412   0.061
 0003    86  13.667   0.326  -0.161
 0004    86  14.342   0.392  -0.009
 0005    86  14.363   0.482   0.147
 0006    86  11.224   0.332   0.040
 0007    86  11.013   0.295   0.180
 0009    86  14.117   0.536   0.324
 0010    86  14.418   0.460   0.131
 0011    86  14.221   0.364  -0.055
 0012    86  12.450   0.310  -0.398
 0015    86  13.621   0.329  -0.251
 0016    86  13.144   0.296  -0.322
 0017    86  13.033   0.297  -0.340
 0020    86  14.109   0.314  -0.070
 0021    86  13.281   0.303  -0.156
 0022    86  13.330   0.287  -0.206
 0023    86  13.327   0.313  -0.253
 0024    86  14.336   0.395         
 0028    86  14.366   0.384   0.029
 0029    86  13.808   0.396   0.039
 0030    86  14.383   0.346  -0.118
 0031    86  13.471   0.350  -0.046
 0032    86  12.981   0.300  -0.255
 0034    86  11.225   0.254         
 0035    86  12.201   0.307  -0.447
 0036    86  14.149   0.361  -0.046
 0039    86  14.441   0.404   0.057
 0040    86  14.422   0.982   0.449
 0041    86  13.319   0.342  -0.219
 0042    86  13.186   0.313  -0.282
 0043    86  12.973   0.295  -0.290
 0044    86  13.340   0.379  -0.084
 0045    86  14.634   0.953   0.473
 0046    86  13.708   0.380  -0.050
 0048    86  12.770   0.310  -0.217
 0049    86  12.381   0.238  -0.419
 0050    86  13.155   0.345  -0.196
 0051    86  14.405   0.404   0.043
 0052    86  12.309   0.343  -0.443
 0053    86  13.990   0.355  -0.076
 0056    86  13.208   0.647   0.172
 0057    86  14.334   0.411  -0.122
 0058    86  14.611   0.438   0.091
 0059    86  14.131   0.369  -0.028
 0060    86  12.158   0.275  -0.402
 0061    86  14.177   1.209  -0.809
 0062    86  11.820   0.309  -0.430
 0063    86  14.359   0.358   0.043
 0064    86  12.317   0.294  -0.240
 0065    86  14.009   0.457   0.258
 0067    86  12.326   0.307  -0.315
 0068    86  14.397   0.891   0.047
 0069    86  13.642   0.337  -0.161
 0070    86  13.328   0.321  -0.220
 0071    86  11.645   0.237  -0.103
 0072    86  12.368   0.693   0.141
 0073    86  13.084   0.371         
 0074    86  14.152   0.384  -0.026
 0075    86  14.314   0.383   0.050
 0076    86  13.622   0.455  -0.373
 0077    86  13.214   0.536   0.351
 0078    86  11.403   0.350  -0.145
 0079    86  13.857   0.381   0.058
 0080    86  13.331   0.339  -0.184
 0081    86  14.066   0.931   0.430
 0082    86  14.004   0.441   0.134
 0083    86  13.829   0.327  -0.093
 0084    86  12.251   0.283  -0.473
 0086    86  14.581   0.416   0.061
 0087    86  12.897   0.299  -0.276
 0088    86  14.502   0.820   0.303
 0090    86  13.808   0.391  -0.010
 0091    86  11.317   0.283  -0.562
 0092    86  14.218   0.369  -0.041
 0093    86  13.725   0.408   0.065
 0094    86  13.679   0.340  -0.115
 0095    86  14.106   0.366  -0.056
 0096    86  13.047   0.665   0.142
 0099    86  13.830   1.390   1.195
 0107    86  12.950   0.753   0.203
 0108    86  14.404   0.889   0.364
 0110    86  15.292   0.442   0.196
 0111    86  13.571   1.084   0.489
 0112    86  13.412   0.322  -0.224
 0113    86  12.250   0.273  -0.457
 0114    86  13.674   0.612   0.468
 0115    86  13.750   0.756   0.209
 0116    86  12.461   0.307  -0.340
 0117    86  12.652   0.295  -0.361
 0118    86  11.714   0.281   0.193
 0119    86  12.236   0.309  -0.512
 0121    86  13.531   0.401   0.221
 0122    86  12.105   0.364  -0.494
 0123    86  14.750   0.777   0.461
 0124    86  11.984   0.284  -0.444
 0125    86  14.052   0.541   0.232
 0126    86  14.553   0.288   0.031
 0127    86  14.723   0.336   0.121
 0129    86  13.113   0.311  -0.196
 0130    86  12.429   1.718   1.769
 0140    86  12.848   0.330  -0.247
 0141    86  12.918   0.896   0.392
 0144    86  14.469   0.705   0.401
 0145    86  13.529   0.400  -0.191
 0146    86  14.507   0.393   0.076
 0147    86  14.357   0.882   0.332
 0148    86  13.385   0.718   0.191
 0149    86  12.532   0.294  -0.203
 0150    86  14.359   0.890   0.596
 0151    86  12.791   0.253  -0.279
 0152    86  14.651   0.796   0.213
 0154    86  11.212   0.285  -0.467
 0155    86  14.402   0.727   0.346
 0156    86  14.555   0.527   0.127
 0157    86  14.678   0.495   0.102
 0165    86  14.110   0.750   0.352
 0168    86  13.587   1.247   0.857
 0169    86  13.145   1.399   1.065
 0170    86  14.661   0.494   0.143
 0171    86  14.437   0.667   0.417
 0172    86  14.361   0.834   0.455
 0173    86  12.616   0.750   0.165
 0174    86  13.130   0.356         
 0175    86  13.922   0.655   0.590
 0176    86  12.617   1.785   1.756
 0178    86  13.878   1.376   1.038
 0179    86  14.443   0.447   0.073
 0190    86  11.407   1.725   1.684
 0194    86  14.463   1.134   0.124
 0195    86  13.063   1.465   1.377
 0196    86  13.591   0.691   0.342
 0197    86  13.780   1.336   1.147
 0198    86   9.646   0.045  -0.339
 0199    86  12.570   2.033   2.518
 0200    86  13.974   1.203   1.051
 0201    86  13.188   0.605   0.487
 0202    86  14.680   0.386   0.224
 0203    86  13.573   1.623   1.548
 0204    86  13.981   1.288   0.839
 0205    86  14.398   0.645   0.535
 0206    86  13.502   0.431   0.432
 0229    86   9.074   1.301   1.587
 0230    86  13.219   0.730   0.161
 0231    86  14.425   1.054   0.874
 0232    86  10.776  -0.057  -0.050
 0235    86  13.496   0.795   0.246
 0236    86  11.070   0.719   0.372
 0237    86  13.616   0.553   0.500
 0238    86  14.588   0.419   0.147
 0239    86  12.997   1.516         
 0609    86  13.680   0.389  -0.028
 0612    86  14.629   0.895   0.301
 0616    86  13.289   2.020   2.439
 0624    86  14.800   0.997   0.425
 0629    86  14.772   0.818   0.227
 0630    86  14.717   0.437   0.104
 1126    86  16.025   0.969   0.375
 1127    86  15.759   0.482   0.425
 1128    86  14.698   0.944   0.407
 1129    86  16.286   1.280   1.078
 1130    86  16.722   0.940   0.321
 1131    86  16.403   0.992   0.375
 1144    86  16.669   0.951   0.330
 1145    86  15.925   0.638   0.465
 1146    86  15.298   1.135   0.799
 1202    86  15.308   1.538   1.181
 1203    86  16.564   1.193   0.474
 1204    86  16.130   0.772   0.585
 1205    86  16.734   1.113   0.498
 1206    86  16.720   1.110   0.477
 1208    86  16.168   0.764   0.430
 1209    86  17.316   1.113   0.426
 1210    86  14.382   1.738   1.598
 1211    86  16.488   1.172   0.781
 1213    86  16.731   1.141   0.621
 1214    86  17.252   0.777   0.326
 1215    86  15.884   0.586   0.385
 1217    86  16.844   0.885   0.450
 1218    86  15.471   0.971   0.361
 1219    86  17.196   1.064   0.357
 1220    86  14.902   1.918   1.664
 1221    86  15.910   0.995   0.335
 1223    86  15.574   0.513   0.366
 1224    86  17.041   0.930   0.347
 1226    86  16.462   1.190   0.764
 1227    86  15.420   0.626   0.515
 1228    86  15.827   0.606   0.412
 1229    86  16.307   1.582   1.318
 1230    86  16.922   0.845   0.421
 1232    86  16.900   1.009   0.287
 1233    86  16.318   0.853   0.490
 1234    86  15.079   0.907   0.261
 1235    86  16.920   1.049   0.265
 1237    86  15.218   0.923   0.298
 1238    86  16.992   0.853   0.240
 1239    86  17.059   0.889   0.301
 1240    86  15.131   0.851   0.261
 1241    86  14.948   0.833   0.211
 1242    86  16.390   0.801   0.264
 1243    86  16.011   1.155   0.831
 1303    86  16.083   0.906   0.395
 1304    86  14.936   0.799   0.400
 1314    86  16.787   0.996   0.331
 1317    86  17.310   0.938   0.284
 1318    86  16.522   1.432   1.090
 1321    86  15.102   0.445   0.150
 1322    86  15.564   0.795   0.318
 1323    86  15.742   0.581   0.354
 1324    86  15.692   0.747   0.353
 1325    86  14.784   1.024   0.620
 1326    86  15.394   0.811   0.244
 1327    86  16.917   0.847   0.266
 1328    86  15.908   0.918   0.466
 1329    86  15.859   0.591   0.343
 1330    86  16.265   0.800   0.359
 1331    86  16.149   0.598   0.332
 1332    86  15.086   0.617   0.326
 1333    86  16.881   1.254   0.670
 1334    86  16.065   0.861   0.457
 1336    86  15.085   0.975   0.422
 1337    86  17.203   0.847   0.264
 1338    86  16.396   1.263   0.648
 1339    86  17.698   1.020         
 1340    86  16.785   1.049   0.502
 1341    86  15.881   1.025   0.652
 1343    86  16.652   0.946   0.292
 1344    86  17.201   0.886   0.274
 1345    86  17.190   1.019   0.336
 1346    86  17.016   0.963   0.354
 1401    86  16.112   1.444   1.262
 1402    86  17.159   0.944   0.296
 1403    86  14.725   1.319   1.023
 1404    86  15.612   0.815   0.246
 1406    86  15.267   1.021   0.782
 1407    86  17.327   0.947   0.819
 1409    86  16.091   0.972   0.478
 1410    86  17.312   0.868   0.320
 1412    86  16.814   0.866   0.273
 1413    86  16.400   0.837   0.325
 1415    86  15.819   0.746   0.427
 1418    86  16.845   0.943   0.262
 1427    86  16.312   1.066   0.448
 1430    86  16.798   1.700   0.206
 1432    86  16.795   1.001   0.328
 1433    86  16.553   0.971   0.276
 1434    86  16.657   1.217   0.701
 1435    86  16.797   1.085   0.707
 1436    86  16.258   0.898   0.341
 1437    86  16.611   0.949   0.237
 2117    86  16.361   0.691         
 2119    86  15.471   0.824   0.246
 2120    86  15.895   1.311   0.705
 2121    86  16.103   0.983   0.332
 2122    86  16.403   0.960   0.245
 2123    86  16.758   0.819   0.277
 2124    86  16.490   0.755   0.290
 2127    86  15.096   0.769   0.362
 2128    86  16.601   0.789   0.290
 2130    86  16.173   0.902   0.271
 2131    86  15.903   0.629   0.310
 2132    86  15.796   0.544   0.355
 2133    86  14.877   0.993         
 2134    86  14.720   0.405         
 2140    86  14.960   0.443         
 2142    86  15.070   0.803   0.276
 2143    86  16.825   0.850   0.237
 2144    86  15.470   0.546   0.371
 2201    86  16.755   1.233   0.649
 2202    86  16.533   1.003   0.318
 2203    86  15.456   0.535   0.339
