UBV CCD observations

  No    Ref    V       B-V     U-B

 0001   331   8.345   0.342  -0.164
 0002   331   9.115   0.247   0.014
 0003   331   9.082   0.364  -0.020
 0004   331  10.131   0.513   0.003
 0005   331  10.102   0.524   0.037
 0006   331  10.533   0.193  -0.131
 0007   331  11.013   0.591   0.046
 0008   331  11.019   0.372  -0.079
 0009   331  11.188   0.510   0.058
 0010   331  11.280   0.617   0.033
 0011   331  11.579   0.283   0.070
 0012   331  11.838   0.269   0.085
 0013   331  11.858   0.292  -0.070
 0014   331  11.948   0.285  -0.182
 0015   331   7.762   1.073   0.710
 0016   331   9.225   0.959   0.630
 0017   331   9.303   1.728   1.968
 0018   331   9.523   0.939   0.539
 0019   331  10.161   1.917   2.057
 0020   331  10.162   1.482   1.414
 0021   331  10.209   0.505   0.216
 0022   331  10.286   1.770   2.134
 0023   331  10.769   0.247   0.105
 0024   331  10.769   2.280   2.377
 0025   331  10.920   1.396   1.416
 0026   331  10.963   0.501   0.226
 0027   331  11.046   1.494   1.514
 0028   331  11.382   0.745   0.147
 0029   331  11.754   0.692   0.151
 0030   331  11.888   0.530   0.226
 0031   331  11.321   0.522   0.105
 0032   331  11.550   0.493   0.287
 0033   331  11.648   1.402   1.312
 0034   331  12.010   0.396   0.086
 0035   331  12.021   0.692   0.073
 0036   331  12.088   0.498   0.269
 0037   331  12.370   0.395   0.242
 0038   331  12.428   0.539   0.139
 0039   331  12.468   2.143   2.656
 0040   331  12.558   0.611   0.080
 0041   331  12.592   2.213   2.392
 0042   331  12.709   0.659   0.086
 0043   331  12.809   2.355   2.723
 0044   331  12.880   2.003   2.214
 0045   331  12.891   1.141   0.775
 0046   331  12.933   0.717   0.135
 0047   331  13.128   0.688   0.080
 0048   331  13.295   0.977   0.513
 0049   331  13.315   1.379   1.056
 0050   331  13.333   0.894   0.498
 0051   331  13.361   0.595   0.347
 0052   331  13.367   1.441   1.245
 0053   331  13.371   1.025   0.344
 0054   331  13.468   0.791   0.172
 0055   331  13.509   2.238   2.569
 0056   331  13.522   0.645   0.179
 0057   331  13.535   0.752   0.153
 0058   331  13.559   0.638   0.393
 0059   331  13.566   0.715   0.274
 0060   331  13.635   1.942   2.031
 0061   331  13.731   0.556   0.187
 0062   331  13.772   0.628   0.354
 0063   331  13.799   1.732   1.739
 0064   331  13.805   0.737   0.179
 0065   331  13.806   0.763   0.363
 0066   331  13.829   0.705   0.366
 0067   331  13.841   0.735   0.294
 0068   331  13.860   1.995   2.460
 0069   331  13.894   0.856   0.260
 0070   331  13.904   1.953   2.188
 0071   331  14.031   2.214   2.682
 0072   331  14.059   0.725   0.161
 0073   331  14.093   2.335   2.471
 0074   331  14.101   2.240   2.241
 0075   331  14.113   0.640   0.405
 0076   331  14.323   1.730   1.451
 0077   331  14.362   1.733   1.764
 0078   331  14.366   0.625   0.184
 0079   331  14.370   1.687   1.663
 0080   331  14.437   0.900   0.232
 0081   331  14.459   0.574   0.254
 0082   331  14.475   0.762   0.146
 0083   331  14.504   0.837   0.238
 0084   331  14.508   1.872   1.681
 0085   331  14.514   1.650   1.443
 0086   331  14.518   0.785   0.176
 0087   331  14.556   1.767   1.674
 0088   331  14.571   0.908         
 0089   331  14.571   0.840   0.177
 0090   331  14.574   1.826   1.931
 0091   331  14.594   0.894   0.263
 0092   331  14.602   1.690   1.435
 0093   331  14.610   0.972   0.360
 0094   331  14.618   0.915   0.433
 0095   331  14.621   1.786   1.776
 0096   331  14.632   0.792   0.188
 0097   331  14.665   0.945   0.521
 0098   331  14.667   1.734   1.789
 0099   331  14.677   0.830   0.367
 0100   331  14.679   1.674   1.612
