UBV CCD observations

  No    Ref    V       B-V     U-B

 0001   171  12.957   1.091   0.763
 0002   171  11.716   0.256   0.219
 0003   171   9.170   0.024  -0.360
 0004   171  11.088   0.185   0.028
 0005   171  12.044   0.332   0.107
 0006   171  13.285   1.675         
 0007   171  13.910   0.690   0.085
 0008   171  13.946   1.662   2.247
 0009   171  10.677   0.230   0.033
 0010   171  12.016   1.070   0.886
 0011   171  13.708   0.622   0.116
 0012   171   9.967   0.068  -0.044
 0013   171  12.485   0.399   0.233
 0014   171  11.150   0.123         
 0015   171  14.040   0.466   0.060
 0016   171  12.129   0.331   0.362
 0017   171  12.787   0.567   0.212
 0018   171  13.175   0.577   0.051
 0019   171  13.151   1.716   1.934
 0020   171  13.127   0.661   0.154
 0021   171  12.258   0.680   0.219
 0022   171  12.691   1.068   1.007
 0023   171  12.352   0.363   0.080
 0024   171  11.282   1.548   1.948
 0025   171  12.948   0.603   0.091
 0026   171  13.932   0.646   0.071
 0027   171   9.830   0.051  -0.452
 0028   171  13.701   1.389   1.654
 0029   171  13.817   0.679   0.206
 0030   171  13.607   0.631   0.078
 0031   171  13.119   1.720   2.146
 0033   171   9.893   0.037  -0.248
 0034   171  12.691   1.241   1.210
 0035   171  13.528   0.581   0.044
 0036   171  13.059   0.574   0.097
 0037   171  11.768   0.323   0.138
 0038   171  11.774   0.317   0.126
 0039   171  12.735   1.222   1.280
 0040   171  13.509   1.463   1.446
 0041   171  11.255   0.179   0.032
 0043   171  13.605   1.300   1.456
 0044   171  13.186   1.486   1.553
 0045   171  12.815   1.415   1.701
 0046   171   8.293          -0.410
 0047   171  11.455   0.193   0.050
 0048   171  13.743   1.560   1.986
 0049   171  12.924   1.682   2.094
 0050   171  13.291   1.374   1.626
 0051   171  10.484   1.754   2.174
 0052   171  13.476   1.072   0.669
 0053   171  13.875   1.361   1.499
 0054   171  13.191   0.557   0.088
 0055   171   9.248   0.029  -0.362
 0056   171  13.372   1.388   1.612
 0058   171  11.684   0.990   0.648
 0059   171  12.905   0.727   0.388
 0060   171  13.660   1.400   1.522
 0061   171  13.978   1.067   0.636
 0062   171  12.456   1.380   1.651
 0063   171  13.822   1.059   0.684
 0064   171  12.676   0.413   0.075
 0065   171  10.703   0.099  -0.037
 0066   171  13.214   0.623   0.272
 0067   171  13.663   1.646   1.955
 0069   171  13.317   1.317   1.458
 0070   171  13.818   0.743   0.279
 0071   171  13.295   0.413   0.076
 0072   171  11.447   0.235  -0.040
 0073   171  11.877   0.331  -0.034
 0074   171  13.809   1.208   1.045
 0075   171  13.078   0.668   0.128
 0076   171  12.908   1.372   1.479
 0077   171  12.654   0.648   0.147
 0078   171  13.524   0.582   0.007
 0079   171  13.641   1.752   1.937
 0080   171  12.913   0.659   0.208
 0081   171  12.702   1.386   1.637
 0082   171  12.629   1.394   1.605
 0083   171  11.606   0.239   0.131
 0084   171  13.747   1.289   1.181
 0085   171  11.434   0.484   0.200
 0086   171  13.364   1.375   1.468
 0087   171  10.144   0.695   0.263
 0088   171  13.814   1.343   1.520
 0089   171  13.976   1.670   0.881
 0090   171  13.470   1.801   2.123
 0091   171  13.680   1.714   2.059
 0092   171  13.665   0.633   0.266
 0093   171  12.860   1.660   2.230
 0094   171  12.917   0.477   0.028
 0095   171  12.758   1.101   0.905
 0096   171  13.370   0.945   0.862
 0097   171  13.717   1.560   1.756
 0098   171  11.431   0.653   0.259
 0099   171  13.697   1.535   1.894
 0105   171  13.523   1.314   1.305
 0107   171  11.536   0.228   0.086
 0108   171  11.660   1.666   1.945
 0109   171  12.158   1.132   0.907
 0110   171  13.380   1.896   2.220
 0111   171  12.341   0.418   0.021
 0112   171  13.231   0.603  -0.024
 0113   171  13.516   0.862   0.331
 0201   171  15.259   0.761   0.249
 0202   171  15.466   1.006   0.436
 0203   171  15.069   0.678   0.189
 0204   171  15.196   0.867   0.485
 0205   171  15.403   1.001         
 0206   171  15.057   0.705   0.195
 0207   171  14.597   1.186         
 0208   171  15.084   0.506  -0.076
 0209   171  14.740   0.805   0.283
 0210   171  15.393   1.239   1.295
 0211   171  15.394   1.107   0.679
 0212   171  14.300   1.643   1.949
 0213   171  14.892   1.665         
 0214   171  14.461   1.242   1.450
 0215   171  14.248   0.619   0.089
 0216   171  15.469   1.540         
 0220   171  14.489   0.727   0.408
 0221   171  15.226   0.983   0.689
 0222   171  14.342   0.681   0.239
 0223   171  15.227   1.118         
 0224   171  14.348   0.698   0.291
 0225   171  14.820   1.148         
 0227   171  14.554   0.596   0.218
 0229   171  15.337   1.177         
 0230   171  15.897   1.159   0.903
 0231   171  14.664   1.479   1.857
 0232   171  15.018   0.892   0.587
 0233   171  14.842   1.331         
 0234   171  15.020   0.905   0.601
 0235   171  14.753   1.116   0.941
 0236   171  14.453   0.781   0.348
 0239   171  14.492   0.816   0.314
 0241   171  14.651   1.695         
 0242   171  15.037   1.180   1.394
 0243   171  15.222   0.669   0.028
 0244   171  14.895   0.538   0.084
 0245   171  15.267   0.785   0.587
 0246   171  14.709   0.577   0.109
 0247   171  14.154   0.882   0.547
 0249   171  15.618   1.287         
 0251   171  14.274   1.222   1.325
 0252   171  15.032   1.226   0.660
 0253   171  15.452   1.036   0.825
 0254   171  15.359   1.019         
 0255   171  14.266   0.765   0.255
 0256   171  15.347   0.770   0.289
 0257   171  15.181   1.208   0.908
 0258   171  14.218   1.382   1.582
 0259   171  15.498   1.050   1.073
 0260   171  14.011   0.684   0.181
 0261   171  15.428   0.878   0.283
 0262   171  14.876   1.083   0.932
 0263   171  15.434   1.293   1.688
 0264   171  15.259   1.223   1.162
 0265   171  14.518   1.177   1.089
 0266   171  15.342   1.183   1.017
 0267   171  15.300   1.294   1.903
 0268   171  14.870   1.014   0.497
 0269   171  14.838   1.254   1.567
 0270   171  14.126   0.563   0.234
 0271   171  14.968   1.112         
 0272   171  14.969   1.789         
 0273   171  15.176   0.889   0.506
 0274   171  14.372   0.777   0.346
 0275   171  14.630   1.279   1.147
 0276   171  15.489   1.484   1.475
 0277   171  15.191   0.991   0.599
 0279   171  15.203   1.517   1.594
 0281   171  14.892   0.889   0.293
 0282   171  14.266   0.767   0.184
 0283   171  15.313   1.351         
 0284   171  14.181   0.714   0.099
 0286   171  14.490   0.746   0.318
 0287   171  14.404   1.312   1.408
 0288   171  15.058   1.065   0.725
 0289   171  15.201   0.840   0.296
 0291   171  13.829   0.915   0.622
 0292   171  15.189   0.768   0.283
 0293   171  14.798   0.769   0.279
 0294   171  13.999   0.626   0.161
 0295   171  15.103   0.797   0.581
 0296   171  14.457   1.384         
 0297   171  15.124   0.972   0.486
 0298   171  15.284   1.426         
 0299   171  15.065   0.646   0.015
 0300   171  14.647   1.125   1.018
 0301   171  15.041   1.363         
 0302   171  15.144   0.856   0.340
 0303   171  14.894   1.230         
 0307   171  14.976   0.763   0.406
 0308   171  14.169   1.193   1.208
 0309   171  14.522   0.746   0.350
 0310   171  15.000   1.026   0.796
 0311   171  15.344   0.745   0.184
 0312   171  14.816   0.552         
 0313   171  15.307   0.652   0.158
 0314   171  14.856   1.505         
 0315   171  14.865   1.033   0.781
 0316   171  13.984   0.672   0.182
 0317   171  15.307   1.078   0.486
 0318   171  14.895   0.601   0.225
 0320   171  14.147   1.403   1.868
 0321   171  15.178   0.761   0.441
 0322   171  14.829   1.175   0.926
 0323   171  14.098   0.957   0.678
 0324   171  15.238   1.252   1.074
 0325   171  15.358   0.749   0.274
 0326   171  15.106   1.164   1.000
 0327   171  15.205   0.661   0.241
 0328   171  15.534   1.397   1.009
 0329   171  14.624   0.822   0.354
 0330   171  15.037   1.106   0.798
 0331   171  15.137   1.253         
 0332   171  15.276   0.734   0.188
 0333   171  14.448   0.580   0.044
 0336   171  14.889   1.175   1.069
 0337   171  14.813   1.085   0.876
 0339   171  14.591   1.582         
 0340   171  15.109   1.163   0.620
 0341   171  13.988   1.400   1.485
 0344   171  15.115   0.770   0.181
 0345   171  14.906   0.771   0.296
 0346   171  14.487   0.821   0.425
 0347   171  15.143   0.696   0.116
 0348   171  14.719   1.113   0.735
 0349   171  13.778   0.494   0.427
 0350   171  14.441   1.260   1.300
 0352   171  15.641   1.043   0.483
 0353   171  14.053   1.600   1.840
 0354   171  15.176   1.098   0.721
 0355   171  14.778   0.582   0.055
 0356   171  14.782   1.159   1.312
 0357   171  14.645   1.119   1.013
 0358   171  15.326   1.330   1.332
 0359   171  14.097   1.177   0.901
 0360   171  14.421   0.671   0.143
 0361   171  14.463   1.149   1.163
 0362   171  14.606   0.713   0.144
 0363   171  14.024   0.746   0.223
 0365   171  15.767   1.094         
 0366   171  14.116   0.587   0.104
 0368   171  14.218   0.786   0.404
 0370   171  14.309   0.685   0.159
 0372   171  13.999   1.692   1.983
 0373   171  14.030   0.665   0.091
 0374   171  14.987   1.611   2.016
 0375   171  14.847   1.292   1.320
 0376   171  14.462   1.111   0.831
 0377   171  14.298   1.027   0.705
 0378   171  15.051   1.237   0.974
 0379   171  14.477   1.492   2.038
 0380   171  14.812   1.290   1.547
 0381   171  14.812   0.930   0.335
 0383   171  14.224   0.876   0.455
 0384   171  14.967   1.624         
 0385   171  14.897   0.669   0.167
 0386   171  14.676   1.648         
 0387   171  14.705   1.175   0.677
 0388   171  14.157   1.332   1.869
 0389   171  15.014   0.864   0.362
 0390   171  14.656   0.672   0.153
 0391   171  13.948   1.380   1.439
 0392   171  15.797   1.168         
 0393   171  14.717   0.778   0.318
 0394   171  14.954   1.151   0.719
 0395   171  14.532   0.970   0.882
 0396   171  15.005   1.947         
 0397   171  15.336   1.394         
 0398   171  14.645   1.329         
 0399   171  14.375   1.062   0.925
 0400   171  15.364   0.767   0.351
 0401   171  15.168   1.093   0.603
 0402   171  15.060   1.319   0.858
 0403   171  15.084   0.714   0.216
 0404   171  14.232   1.441   1.114
 0405   171  14.393   1.215   0.949
 0406   171  14.376   1.265   1.024
 0407   171  14.695   1.736   1.241
 0409   171  14.684   1.177   0.886
 0410   171  15.471   1.497         
 0411   171  14.770   1.270   1.119
 0412   171  14.920   1.052         
 0414   171  15.178   0.710   0.061
 0415   171  15.178   0.801   0.487
 0416   171  15.299   1.076   0.320
 0417   171  15.084   1.138   0.905
 0419   171  15.390   1.539         
 0420   171  14.105   1.380   1.332
 0421   171  15.259   1.146   0.769
 0422   171  14.417   0.718   0.078
 0423   171  14.402   1.640   2.101
 0424   171  15.198   1.412   1.382
 0425   171  13.924   0.582   1.707
 0426   171  14.512   1.010   0.848
 0427   171  14.694   1.290   1.199
 0428   171  15.155   1.088   0.791
 0430   171  15.100   0.798   0.361
 0432   171  14.581   1.357   1.349
 0433   171  14.417   1.307   1.283
 0435   171  15.004   0.888   0.448
 0436   171  15.108   0.929   0.179
 0439   171  14.806   0.754   0.316
 0440   171  15.423   0.902         
 0443   171  14.969   1.341   1.104
 0444   171  14.885   0.842   0.196
 0445   171  15.594   1.320         
 0446   171  14.992   1.620   1.556
 0447   171  14.773   0.766   0.301
 0448   171  15.447   1.336         
 0449   171  15.011   1.110   0.761
 0451   171  15.267   0.813   0.184
 0452   171  14.838   0.995   0.501
 0453   171  14.495   0.829   0.225
 0454   171  15.191   1.467   1.372
 0456   171  14.464   1.172   1.081
