UBV CCD observations

  No    Ref    V       B-V     U-B
 1405    55  12.960   0.570  -0.430
 1406    55  12.980   0.130   0.170
 1411    55  13.690   0.330   1.880
 1414    55  12.270   0.780  -0.320
 1415    55  14.200  -0.090   0.950
 1416    55  13.380   0.320   0.720
 1419    55  13.350   0.280   0.250
 1423    55  14.060   0.050   0.050
 1430    55  13.800   0.250   0.700
 1440    55  12.800   0.430  -0.480
 1443    55  13.220   0.080   0.410
 1449    55  10.100   0.170  -0.820
 1463    55  12.320   0.220   0.410
 1464    55  13.620   0.560   1.320
 1468    55  13.890   1.140  -1.820
 1471    55  12.480   0.950   0.700
 1473    55  13.770   0.560  -0.510
 1478    55  13.520   0.380   3.170
 1486    55  12.270   0.400   0.440
 1487    55  12.020   0.290   0.400
 1494    55  13.230   0.210  -0.480
 1503    55  13.650   0.160   0.930
 1505    55  13.480   0.880  -0.910
 1507    55  12.670   0.330   0.640
 1514    55  12.240   1.200   0.080
 1515    55  13.450   0.440  -0.870
 1524    55  12.740   0.410   0.550
 1530    55  12.860   0.380   1.120
 1532    55  12.810   0.330   0.580
 1534    55  13.850   0.410   0.880
 1536    55  12.560   0.360   0.740
 1542    55  12.090   0.820   1.060
 1544    55  13.420   0.220   2.850
 1550    55  13.920   0.480  -1.860
 1555    55  12.280   0.410   0.290
 1559    55  13.350   0.910  -0.960
 1561    55  12.040   0.540   0.350
 1566    55  13.610   0.250   1.550
 1567    55  13.770   0.260   0.500
 1568    55  11.290   0.650  -0.220
 1571    55  13.020   0.230   0.510
 1574    55  13.310   0.420   1.080
 1577    55  13.760  -0.010   0.090
 1578    55  14.420   1.170  -2.010
 1579    55  12.330   0.770   1.580
 1580    55  14.330   1.400  -2.030
 1581    55  14.050  -0.060   0.460
 1583    55  12.290   0.280   0.180
 1584    55  12.240   0.350   0.210
 1587    55  13.020   0.400   0.240
 1589    55  12.410   0.180  -0.400
 1590    55  13.260   0.220   1.060
 1595    55  13.640   0.630  -0.850
 1596    55  12.100   0.600   0.040
 1597    55  13.160   0.310  -0.700
 1604    55  13.940   0.090   0.050
 1608    55  14.400   0.890  -2.210
 1613    55  14.300  -0.070   0.800
 1614    55  12.490   0.510   0.070
 1615    55  12.960   0.400   0.430
 1619    55  12.870   0.410  -0.130
 1621    55  12.650   0.470   0.210
 1622    55  11.500   0.430   0.340
 1623    55  12.830   0.440   0.300
 1625    55  13.820   0.180   0.580
 1626    55  14.060  -0.110   0.710
 1630    55  13.480   0.100   0.740
 1632    55  11.220   0.310  -0.770
 1633    55  13.140   0.440   1.300
 1639    55  12.590   0.440   0.530
 1640    55  11.550   0.700  -0.710
 1642    55  12.480   0.040  -0.360
 1643    55  12.160   0.090  -0.220
 1646    55  12.950   0.230   0.110
 1647    55  12.880   0.220   0.100
 1648    55  11.710   0.950   1.870
 1652    55  12.650   0.380  -0.190
 1654    55  12.750   0.290   0.110
 1655    55  13.760   0.230   0.080
 1658    55  11.720   0.440  -0.350
 1662    55  11.450   0.320  -0.270
 1663    55  13.150   0.520   0.590
 1664    55  13.100   0.270   1.000
 1665    55  13.170   0.570   1.590
 1668    55  12.400   0.220  -0.290
 1672    55  12.890   0.370   0.530
 1675    55  11.430   0.370   0.200
 1678    55  14.130  -0.340   0.010
 1681    55  14.620  -0.540  -0.120
 1682    55  14.070   0.010   0.890
 1685    55  11.390   0.450  -0.290
 1686    55  13.750  -0.010   0.350
 1689    55  13.260   0.450   0.100
 1690    55  12.490   0.480   0.720
 1692    55  12.820   0.130   0.080
 1693    55  13.200   0.170   0.270
 1695    55  13.500   0.210   1.000
 1698    55  14.190  -0.310  -0.120
 1699    55  13.420   0.310   1.200
 1701    55  10.960   0.080   0.100
 1703    55  12.770   0.210   0.490
 1705    55  14.450  -0.410   0.760
 1706    55   9.700   0.200   0.170
 1707    55  15.680  -1.320   1.210
 1710    55  11.430   0.150  -0.250
 1712    55  12.970   0.320  -0.120
 1715    55  13.650   0.440   4.700
 1717    55  13.440   0.070   0.190
 1720    55  13.410   0.250   2.170
 1721    55  12.120   0.080   0.080
 1723    55  13.180   0.470  -0.940
 1724    55  13.220   0.150   0.350
 1728    55  13.950  -0.030   0.640
 1729    55  13.210   0.500   1.570
 1732    55  11.080   0.880   1.510
 1733    55  13.420   0.280   1.620
 1734    55  13.580   0.640   2.020
 1735    55  13.190   0.390   1.230
 1736    55  11.500   0.340   0.150
 1738    55  12.900   0.390  -0.020
 1740    55  13.670   0.560   2.420
 1741    55  13.820   0.080   1.270
 1749    55  13.510   0.680   1.750
 1750    55  12.700   0.490   1.250
 1752    55  13.310   0.670   1.280
 1753    55  12.950   0.290   0.550
 1755    55  13.600   0.310   3.410
 1756    55  12.420   0.750   0.930
 1757    55  12.940   0.200   0.160
 1760    55  12.160   0.820   1.060
 1762    55  12.500   0.220   0.040
 1763    55  13.010   0.060   0.730
 1764    55  12.480   0.380   0.360
 1765    55  11.670   0.080   0.180
 1767    55  12.510   0.290   0.210
 1768    55  12.290   0.120  -0.050
 2006   293  11.305   0.099   0.144
 2006   517  11.320   0.100   0.150
 2007   293  11.771   0.365  -0.242
 2008   293  12.012   0.153  -0.421
 2008   517  12.030   0.180  -0.500
 2009   293  12.002   0.171  -0.493
 2010   293  11.940   0.501   0.148
 2010   517  11.910   0.480   0.150
 2011   293  11.950   0.571   0.129
 2011   517  11.990   0.510   0.140
 2012   293  12.275   0.293  -0.206
 2013   293  12.190   0.191  -0.114
 2013   517  12.200   0.170  -0.110
 2014   293  12.187   0.319   0.354
 2015   293  12.599   0.354   0.383
 2015   517  12.640   0.310   0.400
 2016   293  12.934   1.335   1.412
 2016   517  12.970   1.250   1.330
 2017   293  12.960   0.719   0.232
 2017   517  12.990   0.700   0.190
 2018   293  13.269   0.270   0.145
 2018   517  13.270   0.240   0.230
 2019   293  13.218   0.360   0.371
 2020   293  13.369   0.286   0.135
 2020   517  13.340   0.280   0.160
 2021   293  13.467   1.550         
 2021   517  13.540   1.430   1.720
 2022   293  13.435   0.264   0.281
 2022   517  13.440   0.250   0.300
 2023   293  13.466   0.508   0.524
 2023   517  13.470   0.470   0.610
 2024   293  13.477   0.839   0.413
 2024   517  13.480   0.750   0.380
 2025   293  13.497   0.545   0.602
 2026   293  13.656   0.331  -0.047
 2027   293  13.703   0.257  -0.027
 2027   517  13.710   0.230   0.010
 2028   293  13.640   0.600   0.135
 2028   517  13.650   0.570   0.140
 2029   293  13.908   1.399   1.557
 2029   517  13.940   1.250   1.480
 2030   293  13.793   0.888   0.597
 2030   517  13.820   0.820   0.510
 2031   293  13.847   0.625   0.400
 2031   517  13.860   0.580   0.450
 2032   293  13.953   0.261   0.133
 2032   517  13.950   0.240   0.150
 2033   293  13.975   1.321   1.166
 2034   293  13.958   1.250   0.902
 2035   293  13.920   0.567   0.208
 2036   293  13.983   0.600   0.374
 2037   293  13.982   0.383   0.194
 2038   293  14.043   0.548   0.208
 2038   517  14.050   0.500   0.250
 2039   293  14.037   0.256   0.299
 2039   517  14.030   0.270   0.280
 2040   293  14.094   1.259   1.166
 2040   517  14.120   1.190   1.140
 2041   293  14.166   1.297   1.094
 2041   517  14.200   1.180   1.020
 2042   293  14.222   0.464   0.467
 2042   517  14.220   0.420   0.530
 2043   293  14.329   0.590   0.641
 2044   293  14.489   1.422         
 2044   517  14.530   1.300   1.430
 2045   293  14.390   0.419   0.392
 2046   293  14.383   0.474   0.531
 2047   293  14.388   0.404   0.410
 2047   517  14.380   0.370   0.440
 2048   293  14.444   0.364   0.453
 2048   517  14.410   0.440   0.430
 2049   293  14.480   0.363   0.375
 2049   517  14.470   0.330   0.480
 2050   293  14.546   1.096   1.067
 2050   517  14.550   1.030   0.960
 2051   293  14.607   0.697  -0.200
 2052   293  14.648   0.605  -0.106
 2052   517  14.640   0.640  -0.150
 2053   293  14.597   0.704   0.509
 2053   517  14.580   0.750         
 2054   293  14.637   0.625   0.148
 2055   293  14.838   1.233         
 2055   517  14.920   1.270   0.790
 2056   293  14.662   0.730   0.544
 2057   293  14.697   0.655   0.395
 2058   293  14.721   0.555   0.263
 2059   293  14.704   0.372   0.416
 2059   517  14.650   0.450   0.330
 2060   293  14.782   0.271   0.131
 2060   517  14.770   0.250   0.160
 2061   293  14.716   0.476   0.539
 2062   293  14.895   1.288   0.970
 2063   293  14.803   0.939   0.667
 2063   517  14.820   0.830   0.600
 2064   293  14.808   0.635   0.088
 2065   293  14.936   1.037         
 2065   517  14.960   1.020   0.580
 2066   293  14.877   0.632   0.380
 2066   517  14.890   0.590   0.450
 2067   517  14.670   0.320   0.480
 2068   293  15.028   0.957   0.447
 2068   517  15.030   0.890   0.490
