UBV CCD observations

  No    Ref    V       B-V     U-B

 0001   532  18.781   0.834   0.237
 0002   532  15.238   0.855   0.361
 0003   532  18.277   1.151   1.112
 0004   532  17.978   0.952   0.588
 0005   532  18.167   0.842   0.168
 0006   532  16.491   0.469   0.056
 0007   532  18.860   0.550   0.057
 0008   532  18.031   0.612   0.053
 0009   532  18.992   0.984   0.105
 0010   532  16.896   0.960   0.574
 0011   532  18.199   1.348   1.364
 0012   532  18.505   0.967   0.624
 0013   532  16.464   0.613   0.055
 0014   532  18.134   0.679   0.118
 0015   532  18.653   0.871   0.302
 0016   532  18.471   1.094   0.638
 0017   532  17.087   0.657   0.053
 0018   532  17.930   0.946   0.538
 0019   532  17.308   1.103   1.078
 0020   532  14.764   0.530   0.012
 0022   532  11.636   0.170  -0.013
 0023   532  16.304   0.591   0.025
 0024   532  17.384   0.620   0.072
 0025   532  18.441   0.976   0.653
 0026   532  18.670   1.208         
 0027   532  17.261   0.901   0.318
 0028   532  18.628   0.865   0.219
 0029   532  15.565   0.678   0.194
 0030   532  14.239   0.527   0.051
 0031   532  14.531   0.499         
 0032   532  16.901   0.495   0.077
 0033   532  16.836   0.896   0.477
 0034   532  16.435   1.052   1.041
 0035   532  18.266   0.973   0.719
 0036   532  14.346   1.189   1.056
 0037   532  18.516   1.042         
 0038   532  15.161   0.657   0.099
 0039   532  18.047   0.982   0.739
 0040   532  19.027   1.387         
 0041   532  18.945   0.860   0.410
 0042   532  16.404   0.615   0.096
 0043   532  14.504   1.760   2.388
 0044   532  18.722   1.214         
 0045   532  15.588   0.722   0.170
 0046   532  18.278   0.869   0.355
 0047   532  18.460   0.801   0.222
 0048   532  18.348   0.944   0.658
 0049   532  18.706   1.136   1.196
 0050   532  17.248   0.581   0.045
 0051   532  17.740   1.448   1.429
 0052   532  16.583   0.635   0.067
 0053   532  16.927   0.699   0.128
 0054   532  17.539   0.603   0.026
 0055   532  16.923   0.691   0.092
 0056   532  17.966   1.285   1.587
 0057   532  19.017   0.844   0.240
 0058   532  17.508   0.851   0.357
 0059   532  11.789   0.464   0.071
 0060   532  18.966   0.882   0.527
 0061   532  18.106   0.725   0.085
 0062   532  18.891   1.510         
 0063   532  16.786   0.899   0.425
 0064   532  17.351   0.817   0.208
 0065   532  18.536   1.061   0.843
 0066   532  17.086   0.610   0.054
 0067   532  15.472   0.934   0.520
 0068   532  19.345   0.675   0.054
 0069   532  18.044   0.717   0.132
 0070   532  19.439   0.928   0.360
 0071   532  15.954   0.427   0.173
 0072   532  12.487   0.679   0.046
 0073   532  16.644   0.872   0.489
 0074   532  17.679   0.873   0.261
 0075   532  13.940   0.631         
 0076   532  18.707   0.949   0.478
 0077   532  19.085   1.695         
 0078   532  18.414   0.863   0.240
 0079   532  15.103   0.697   0.114
 0080   532  16.216   0.941   0.602
 0081   532  18.215   0.875   0.271
 0082   532  16.882   0.953   0.653
 0083   532  18.224   0.896   0.357
 0084   532  17.715   0.627   0.105
 0085   532  18.517   0.882   0.319
 0086   532  12.878   1.001   1.908
 0087   532  18.695   0.918   0.533
 0088   532  19.221   2.007         
 0089   532  18.955   0.945   0.463
 0090   532  14.549   0.486   0.002
 0091   532  18.569   0.853   0.210
 0092   532  18.749   0.808   0.193
 0093   532  18.770   1.022   0.613
 0094   532  14.993   0.774   0.198
 0095   532  18.455   0.718   0.123
 0096   532  18.799   0.990   0.416
 0097   532  15.845   0.865   0.393
 0098   532  18.222   0.463   0.117
 0099   532  19.520   0.864         
 0100   532  18.298   0.636  -0.010
 0101   532  15.657   0.631   0.069
 0103   532  15.003   1.084   0.910
 0104   532  18.139   0.697         
 0105   532  18.973   0.778   0.183
 0106   532  14.426   0.537   0.076
 0107   532  16.047   0.647   0.025
 0108   532  17.783   0.840   0.270
 0109   532  12.764   1.082   1.228
 0110   532  18.784   0.576   0.039
 0111   532  18.660   0.837   0.379
 0112   532  17.318   0.843   0.073
 0113   532  14.833   0.591   0.102
 0114   532  15.359   0.942   0.620
 0115   532  16.527   0.533         
 0116   532  11.946   1.041   0.977
 0117   532  19.060   1.654         
 0118   532  15.403   0.595   0.036
 0119   532  17.161   0.777   0.260
 0120   532  18.120   0.952   0.714
 0121   532  17.542   1.037   0.939
 0122   532  18.185   0.867   0.231
 0123   532  18.085   0.694   0.046
 0124   532  19.128   1.867         
 0125   532  17.928   1.481   1.656
 0126   532  15.780   0.709   0.216
 0127   532  14.248   0.443  -0.026
 0128   532  18.699   1.030   0.725
 0129   532  17.826   1.129   1.001
 0130   532  14.954   0.601   0.079
 0132   532  17.587   0.754   0.122
 0133   532  17.598   1.097   1.011
 0134   532  18.205   0.707   0.099
 0135   532  16.018   0.948   0.775
 0136   532  18.818   0.887   0.108
 0137   532  14.818   1.345   1.635
 0138   532  16.483   0.157   0.084
 0139   532  16.768   0.932   0.558
 0140   532  16.070   0.457   0.027
 0141   532  18.254   0.718   0.088
 0142   532  18.090   1.230   1.366
 0143   532  18.862   0.250   0.143
 0144   532  17.945   0.828   0.113
 0145   532  17.923   1.191   1.222
 0146   532  17.446   0.669   0.041
 0147   532  17.317   1.066   0.969
 0148   532  16.253   1.175   1.216
 0149   532  18.948   1.395         
