UBV CCD observations

  No    Ref    V       B-V     U-B

 0001   432  13.664   0.215  -0.109
 0001   458  13.705   0.232   0.210
 0002   432  15.667   0.645  -0.124
 0002   458  15.751   0.654   0.057
 0003   432  16.013   0.604  -0.171
 0003   458  16.109   0.582   0.071
 0004   432  14.710   1.486   0.726
 0004   458  14.915   1.509   1.214
 0005   432  11.395   0.950   0.821
 0005   458  11.208   1.243   0.991
 0006   432  16.161   0.810   0.114
 0006   458  16.717   0.713   0.132
 0007   432  13.465   1.131   0.733
 0007   458  13.563   1.143   0.707
 0008   432  14.472   0.219   0.091
 0008   458  14.390   0.233   0.193
 0009   432  16.690   0.700   1.286
 0009   458  16.820   0.677   0.087
 0010   432  15.617   0.792  -0.046
 0010   458  15.770   0.754   0.192
 0011   432  15.885   0.277   0.072
 0011   458  15.772   0.296   0.064
 0012   432  16.622   0.766   0.051
 0012   458  16.748   0.726   0.127
 0013   432  14.259   0.580  -0.229
 0013   458  14.348   0.582   0.094
 0014   432  16.049   0.856   0.695
 0014   458  16.152   0.818   0.354
 0015   432  15.583   0.623   0.070
 0015   458  15.620   0.596   0.043
 0016   432  15.919   0.597  -0.014
 0016   458  15.930   0.555   0.374
 0017   432  17.088   0.479   0.104
 0017   458  17.060   0.534   0.354
 0018   432  15.093   0.340   0.330
 0018   458  14.954   0.382   0.291
 0019   432  15.118   0.766   0.392
 0019   458  15.086   0.798   0.274
 0020   432  15.421   0.296   0.161
 0020   458  15.953   0.296   0.111
 0021   432  16.767   0.360   0.356
 0021   458  16.637   0.390   0.297
 0022   432  18.245   0.907         
 0022   458  18.169   0.821   0.323
 0023   432  16.528   0.913   0.678
 0023   458  17.415   0.737   0.155
 0024   432  16.621   1.052   1.350
 0024   458  17.322   1.212   0.674
 0025   432  15.909   0.370   0.242
 0025   458  15.893   0.342   0.156
 0026   432  16.482   0.425   0.362
 0026   458  16.577   0.371   0.292
 0027   432  16.706   0.834   2.516
 0027   458  17.283   0.824   0.326
 0028   432  15.260   0.551   0.187
 0028   458  15.733   0.479   0.170
 0029   432  15.353   0.519   0.137
 0029   458  16.516   0.470   0.304
 0030   432  16.998   0.771   0.217
 0030   458  17.337   0.608   0.101
 0031   432  14.362   0.194  -0.307
 0031   458  14.233   0.187  -0.401
 0032   432  16.300   0.453   0.263
 0032   458  16.245   0.443   0.294
 0033   432  17.461   0.835         
 0033   458  18.251   0.794   0.216
 0034   432  16.785   0.702   0.324
 0034   458  16.773   0.600   0.359
 0035   432  15.385   0.262  -0.348
 0035   458  17.987   0.690   0.171
 0036   432  16.044   0.431   0.324
 0036   458  16.098   0.320   0.163
 0037   432  16.323   0.470   0.363
 0037   458  16.436   0.389   0.279
 0038   432  16.478   0.466   0.730
 0038   458  16.873   0.558         
 0039   432  17.326   0.839  -0.580
 0039   458  17.419   0.760   0.184
