UBV CCD observations

  No    Ref    V       B-V     U-B

 0020    32  13.697   0.796   0.536
 0021    32  16.171   0.836   0.705
 0024    32  18.147   1.199   0.466
 0038    32  15.018   1.644   1.389
 0039    32  14.068   0.782   0.507
 0041    32  15.332   0.802   0.446
 0042    32  14.526   0.856   0.609
 0043    32  13.900   0.804   0.554
 0045    32  15.662   0.983   0.648
 0046    32  15.618   0.850   0.472
 0047    32  15.354   1.362   0.623
 0048    32  15.718   0.910   0.561
 0049    32  15.675   0.820   0.668
 0052    32  16.218   0.814   0.362
 0053    32  16.589   1.336   0.586
 0057    32  14.611   0.809   0.568
 0058    32  13.884   1.087   0.612
 0060    32  15.455   0.796   0.540
 0062    32  15.791   0.796   0.535
 0063    32  15.860   0.896   0.762
 0064    32  13.943   1.596   1.310
 0125    32  16.032   0.781   0.276
 0126    32  15.774   0.769   0.341
 0127    32  15.756   0.883   0.583
 0129    32  15.239   0.750   0.495
 0132    32  15.367   0.961   0.316
 0133    32  15.509   0.697   0.227
 0134    32  14.109   0.743   0.345
 1006    32  18.460   1.109  -0.458
 1007    32  16.775   0.891   0.425
 1008    32  17.628   1.112  -0.304
 1009    32  15.879   0.784   0.565
 1010    32  16.798   0.861   0.185
 1011    32  17.312   1.049  -0.028
 1012    32  17.772   0.964  -0.062
 1013    32  17.220   1.148  -0.237
 1015    32  18.008   1.102   2.144
 1016    32  16.348   1.042   0.494
 1017    32  17.057   0.891   0.468
 1018    32  16.489   0.891   0.273
 1019    32  16.235   2.051   0.579
 1021    32  16.688   0.936   0.667
 1022    32  17.821   1.010   0.123
 1023    32  16.859   1.384   0.765
 1024    32  15.408   0.740   0.407
 1025    32  15.848   0.821   0.387
 1027    32  18.769   1.235  -0.457
 1028    32  17.005   0.872   0.602
 1030    32  17.281   1.027   0.403
 1035    32  15.326   0.809   0.408
 1036    32  16.213   0.861   0.694
 1039    32  13.857   0.753   0.227
 1040    32  16.659   0.890   0.394
 1041    32  17.343   0.947   0.804
 1042    32  18.350   1.008  -0.081
 1043    32  16.487   0.887   0.314
 1046    32  17.843   1.052   0.730
 1047    32  17.295   1.258   0.582
 1048    32  16.288   0.755   0.477
 1049    32  16.895   1.002   0.629
 1050    32  18.152   1.221  -0.384
 1052    32  15.903   0.993   0.714
 1053    32  15.496   0.726   0.261
 1054    32  13.781   1.459   1.100
 1055    32  15.884   0.664   0.298
 1056    32  15.534   1.213   1.171
 1060    32  16.708   0.999   0.672
 1061    32  13.148   1.831   1.842
 1063    32  18.203   1.052   0.371
 1064    32  16.815   0.964   0.639
 1067    32  17.979   1.125   1.098
 1068    32  16.471   0.894   0.572
 1069    32  18.103   1.058   1.729
 1071    32  18.493   1.105   0.169
 1072    32  16.463   0.856   0.421
 1073    32  17.458   1.112   0.023
 1074    32  17.277   0.986   0.337
 1076    32  16.292   0.925   0.308
 1077    32  17.391   0.933   0.673
 1078    32  16.120   1.001   0.687
 1079    32  16.614   0.993   0.183
 1080    32  17.170   0.963   0.499
 1082    32  16.746   0.943   0.209
 1083    32  15.198   1.064   0.371
 1085    32  17.229   0.965  -0.110
 1086    32  17.261   1.349   0.369
 1087    32  16.097   0.800   0.405
 1089    32  14.433   1.470   1.119
 1090    32  18.207   0.961  -0.119
 1091    32  16.801   0.909   0.466
 1092    32  15.023   0.764   0.485
 1093    32  16.939   0.973   0.336
 1094    32  16.572   1.048   0.177
 1097    32  17.790   1.251  -0.176
 1099    32  16.680   0.886   0.152
 1101    32  17.263   0.993   0.479
 1102    32  16.759   1.037   0.523
 1104    32  17.635   1.032  -0.388
 1105    32  17.715   1.050   0.765
 1107    32  17.322   0.992   0.269
 1108    32  16.583   0.852   0.494
 1109    32  16.858   0.986   0.205
 1111    32  17.456   0.985   0.464
 1112    32  15.932   0.840   0.505
 1113    32  17.810   0.984   2.681
 1115    32  17.400   1.099  -0.130
 1117    32  15.267   0.886   0.954
 1118    32  17.695   1.194   1.491
 1119    32  17.189   0.929   0.154
 1120    32  16.307   0.903   0.577
 1122    32  17.953   0.988   0.306
 1123    32  14.938   0.840   0.583
 1125    32  15.957   0.937   0.564
 1127    32  17.912   1.051  -0.150
 1128    32  14.886   1.198   0.606
 1131    32  17.697   1.124  -0.052
 1132    32  16.989   0.979   0.518
