UBV CCD observations

  No    Ref    V       B-V     U-B

 0002   337   9.090   0.150  -0.730
 0003   337   6.520   0.120  -0.810
 0004   337   6.540  -0.000  -0.820
 0005   337   9.010  -0.040  -0.810
 0005   517   8.980  -0.020  -0.850
 0006   337   8.190   0.080  -0.770
 0006   517   8.180   0.090  -0.810
 0007   337   8.580   0.070  -0.790
 0007   517   8.570   0.030  -0.750
 0008   337   8.270   0.140  -0.670
 0008   517   8.250   0.150  -0.740
 0009   337   9.990   0.020  -0.770
 0010   337   9.540   0.030  -0.770
 0010   517   9.510   0.020  -0.810
 0012   337   9.890   0.130  -0.790
 0012   517   9.950   0.060  -0.740
 0013   337  10.150  -0.010  -0.750
 0013   517  10.110   0.020  -0.780
 0014   337   9.310  -0.050  -0.870
 0014   517   9.230  -0.030  -0.850
 0015   337  10.230   0.020  -0.740
 0015   517  10.150  -0.010  -0.730
 0016   337   8.700   0.020  -0.810
 0016   517   8.750          -0.840
 0017   337  10.480   0.010  -0.670
 0017   517  10.470          -0.720
 0018   337   9.280   0.010  -0.800
 0018   517   9.260  -0.030  -0.780
 0019   337   9.030   0.240  -0.720
 0019   517   9.040   0.210  -0.700
 0020   337   7.970   0.070  -0.820
 0020   517   7.970   0.050  -0.850
 0021   337   7.300   2.160   1.700
 0021   517   7.220   2.000   2.050
 0022   337   7.650   0.130  -0.850
 0022   517   7.600   0.080  -0.740
 0023   337   9.350   0.020  -0.810
 0023   517   9.320  -0.030  -0.820
 0024   337   9.310   0.030  -0.670
 0024   517   9.190   0.050  -0.780
 0025   337   8.070   0.140  -0.780
 0025   517   8.100   0.100  -0.790
 0026   337   8.570   0.160  -0.850
 0026   517   8.680   0.130  -0.930
 0027   337   8.920   0.120  -0.780
 0027   517   8.920   0.060  -0.730
 0028   337  10.270   0.010  -0.660
 0028   517  10.270  -0.020  -0.700
 0029   337  10.620   0.070  -0.660
 0029   517  10.620   0.030  -0.660
 0030   337  12.640   0.100  -0.180
 0030   517  12.670   0.130  -0.180
 0031   337  11.520   0.040  -0.630
 0031   517  11.560   0.020  -0.590
 0032   337  12.900   0.080  -0.130
 0032   517  12.850   0.190  -0.130
 0033   337  10.610   0.100  -0.630
 0033   517  10.600   0.040  -0.610
 0034   337  12.870   0.080  -0.270
 0034   517  12.880   0.100  -0.270
 0035   337  12.870   0.140  -0.260
 0035   517  12.840   0.140  -0.320
 0052   337  12.050   0.070  -0.390
 0052   517  12.040   0.040  -0.430
 0055   337  12.700   0.110  -0.200
 0055   517  12.730   0.150  -0.210
 0056   337  13.500   0.260   0.160
 0056   517  13.540   0.260   0.210
