UBV CCD observations

  No    Ref    V       B-V     U-B

 0001   340  15.287   0.741  -0.013
 0002   340  14.350   0.887   0.035
 0003   340  15.219   0.790  -0.078
 0004   340  13.338   1.268   0.694
 0005   340  15.297   0.848   0.004
 0006   340  15.494   0.812   0.455
 0007   340  15.098   0.894   0.068
 0008   340  13.132   1.027   0.259
 0009   340  15.448   0.784   0.670
 0010   340  14.880   0.713  -0.055
 0011   340  15.260   0.815   0.372
 0012   340  14.761   0.751  -0.074
 0013   340  18.231   0.296  -0.508
 0014   340  14.521   0.820   0.272
 0015   340  12.054   1.483   1.498
 0016   340  15.523   0.831  -0.023
 0017   340  16.045   0.785   0.393
 0018   340  15.123   0.749  -0.069
 0019   340  13.577   1.118   0.753
 0020   340  14.283   0.731   0.351
 0021   340  13.330   1.126   0.784
 0022   340  13.881   0.823   0.165
 0023   340  17.281   0.833  -0.230
 0024   340  15.179   0.688   0.185
 0025   340  14.866   0.754  -0.116
 0026   340  14.215   0.804   0.090
 0027   340  14.535   0.854  -0.194
 0028   340  14.656   0.720   0.193
 0029   340  16.274   0.871   0.137
 0030   340  14.123   0.727   0.180
 0031   340  14.243   0.757   0.213
 0032   340  17.068   1.116   0.108
 0033   340  15.658   0.803   0.374
 0034   340  14.728   0.724   0.442
 0035   340  13.320   0.911   0.390
 0036   340  15.127   0.760   0.255
 0037   340  14.237   0.708   0.102
 0038   340  14.834   0.731  -0.067
 0039   340  16.648   0.901   3.952
 0040   340  13.259   1.117   0.823
 0041   340  15.111   0.732   0.148
 0042   340  14.479   0.700   0.090
 0043   340  15.050   0.711   0.332
 0044   340  11.912   1.451   1.562
 0045   340  16.917   0.835   0.036
 0046   340  15.082   0.748   0.162
 0047   340  14.835   0.686   0.141
 0048   340  13.445   1.077   0.584
 0049   340  14.246   0.772   0.442
 0050   340  14.395   1.121   0.886
 0051   340  16.850   0.782  -0.067
 0052   340  13.880   0.769   0.241
 0053   340  14.193   0.787   0.286
 0054   340  17.287   0.970  -0.180
 0055   340  14.521   0.705   0.306
 0056   340  16.691   0.755   0.439
 0057   340  15.924   0.737   0.917
 0058   340  16.782   0.964   0.094
 0059   340  14.423   0.717   0.146
 0060   340  15.572   0.716   0.315
 0061   340  14.590   0.727   0.366
 0062   340  18.670   1.111  -1.172
 0063   340  14.598   0.736   0.207
 0064   340  15.018   0.709  -0.169
 0065   340  14.958   0.779   0.537
 0066   340  14.638   0.741   0.304
 0067   340  18.280   0.833   0.108
 0068   340  12.956   1.301   1.137
 0069   340  16.562   0.755   1.309
 0070   340  16.357   1.054   1.449
 0071   340  12.537   1.241   1.125
 0072   340  14.540   0.716   0.225
 0073   340  16.732   0.953   0.108
 0074   340  13.524   1.182   0.872
 0075   340  13.618   1.178   0.961
 0076   340  14.319   0.774  -0.117
 0077   340  12.335   1.206   1.207
 0078   340  13.282   0.935   0.111
 0079   340  14.814   0.738   0.108
 0080   340  14.489   0.724   0.098
 0081   340  12.335   1.206   1.207
 0082   340  13.261   1.237   0.893
 0083   340  15.229   0.829   0.134
 0084   340  18.833   0.732  -0.712
 0085   340  14.381   0.760   0.164
 0086   340  14.553   0.799   0.175
 0087   340  12.358   1.378   1.508
 0088   340  16.589   1.019   1.547
 0089   340  14.952   0.752   0.345
 0090   340  16.064   0.897   0.271
 0091   340  13.134   1.081   0.765
 0092   340  13.342   1.241   1.108
 0093   340  15.206   0.725   0.260
 0094   340  14.371   0.753   0.288
 0095   340  13.512   1.143   0.969
 0096   340  14.043   0.593   0.059
