UBV CCD observations

  No    Ref    V       B-V     U-B
 0363   221  18.298   1.458         
 0364   221  16.859   0.890   0.112
 0366   221  18.783   1.029         
 0367   221  18.852   0.426   0.758
 0368   221  16.043   0.543  -0.055
 1005   221  16.609   0.869  -0.070
 1006   221  16.087   0.631   0.037
 1008   221  16.720   0.919   0.567
 1009   221  16.406   0.730   0.195
 1010   221  17.705   0.969   0.547
 1013   221  17.839   1.193   0.879
 1014   221  17.557   0.636   0.061
 1015   221  17.853   1.441         
 1017   221  17.408   0.984   0.127
 1020   221  18.279   0.954         
 1021   221  16.246   0.622   0.163
 1022   221  16.918   0.892   0.222
 1023   221  15.580   0.733   0.293
 1024   221  17.073   0.846   0.689
 1027   221  17.776   0.898   0.977
 1030   221  16.387   0.729   0.166
 1032   221  16.956   0.937   0.165
 1033   221  17.816   1.039   0.662
 1034   221  17.073   0.783   0.227
 1035   221  16.949   0.879   0.162
 1036   221  17.798   1.505         
 1039   221  18.153   1.137  -0.087
 1041   221  18.446   1.016   0.235
 1042   221  17.763   1.267         
 1044   221  16.911   0.746   0.008
 1046   221  16.637   0.840   0.137
 1047   221  18.396   1.177         
 1053   221  16.648   0.828   0.143
 1056   221  17.524   1.071   0.096
 1057   221  17.279   0.866   0.086
 1058   221  17.982   0.723   0.723
 1061   221  16.234   0.749   0.137
 1062   221  17.076   0.909   0.217
 1063   221  16.051   0.685   0.123
 1064   221  16.391   0.801   0.116
 1069   221  18.450   1.225         
 1072   221  17.848   0.721   0.276
 1074   221  16.217   0.627   0.097
 1075   221  16.202   0.664   0.042
 1081   221  17.397   0.650   0.423
 1082   221  18.015   1.125         
 1083   221  15.987   0.637   0.038
 1084   221  16.586   0.721   0.104
 1085   221  18.017   0.881   0.192
 1086   221  18.003   1.274   0.396
 1087   221  18.394   1.293         
 1088   221  17.158   0.973   0.707
 1089   221  17.363   1.075   0.520
 1090   221  18.121   0.940   0.404
 1091   221  17.428   0.907   0.864
 1093   221  16.132   0.723   0.104
 1094   221  15.096   0.552   0.106
 1095   221  14.304   0.458   0.177
 1096   221  17.184   0.894   0.452
 1100   221  16.074   0.724   0.217
 1102   221  17.720   0.954   1.047
 1105   221  17.302   0.509         
 1106   221  17.321   0.992         
 1109   221  16.123   0.642  -0.011
 1112   221  17.122   0.998   0.905
 1113   221  17.942   0.681   0.264
 1114   221  18.742   0.017   0.165
 1115   221  14.185   0.430   0.151
 1117   221  17.394   0.833   0.893
 1118   221  17.195   0.667   0.440
 1120   221  16.789   0.766  -0.015
 1121   221  16.557   0.728   0.043
 1122   221  17.594   1.021   1.368
 1123   221  17.834   0.751   0.190
 1124   221  16.481   0.797   0.258
 1125   221  16.434   0.657   0.169
 1126   221  17.851   0.588  -0.089
 1127   221  17.015   0.704   0.209
 1129   221  18.381   1.056         
 1130   221  17.051   0.581  -0.126
 1132   221  18.237   0.729   0.220
 1133   221  16.378   0.653   0.216
 1134   221  17.881   0.834   0.081
 1135   221  18.155   0.907   0.027
 1136   221  16.391   0.656   0.151
 1137   221  18.125   1.048   0.862
 1138   221  18.573   0.862         
 1140   221  17.622   0.831   0.914
 1141   221  17.566   0.895   0.840
 1142   221  16.953   0.763   0.200
 1143   221  16.477   0.687   0.076
 1146   221  17.708   0.688  -0.030
 1147   221  16.115   0.641   0.026
 1148   221  17.036   0.440   0.185
 1149   221  17.838   0.869   0.526
 1150   221  17.151   0.660  -0.123
 1154   221  14.893   0.687   0.053
 1155   221  17.178   1.580   0.730
 1156   221  16.218   0.729  -0.036
 1157   221  16.859   0.735   0.323
 1167   221  17.287   0.810   0.259
 1169   221  17.526   1.017   0.225
 1170   221  15.697   0.644   0.042
 1174   221  17.636   1.247   0.952
 1175   221  16.436   0.718  -0.021
 1176   221  18.202   1.293         
 1178   221  18.042   1.467         
 1179   221  18.975   0.255   0.580
 1180   221  16.193   0.581   0.109
 1181   221  15.128   0.459   0.055
 1182   221  18.583   0.944   0.472
 1184   221  17.397   0.723   0.308
 1185   221  17.467   0.820  -0.059
 1187   221  17.494   0.487   0.324
 1188   221  17.997   0.831         
 1189   221  16.218   0.818   0.389
 1190   221  15.684   0.746   0.174
 1192   221  16.776   0.513   0.274
 1195   221  17.589   0.844   0.383
 1196   221  17.430   0.779   0.468
 1197   221  18.200   0.606   0.207
 1198   221  17.545   0.543   0.188
 1199   221  16.759   1.004   0.800
 1200   221  18.057   0.555   0.247
 1202   221  16.399   0.719   0.145
 1203   221  15.518   0.675   0.325
 1205   221  17.650   1.134   0.273
 1206   221  17.113   0.785   0.741
 1209   221  18.471   0.840         
 1210   221  17.531   0.774   0.091
 1211   221  16.569   0.662   0.228
 1212   221  18.644   0.815  -0.073
 1215   221  17.620   1.063   1.026
 1216   221  15.982   0.553   0.080
 1218   221  18.250   1.058   0.554
 1219   221  17.748   0.648   0.088
 1220   221  16.742   0.677   0.192
 1221   221  17.352   1.021   0.775
 1222   221  15.044   0.588   0.022
 1223   221  18.317   0.919   0.090
 1224   221  18.145   0.570  -0.122
 1225   221  17.650   0.785   0.252
 1226   221  17.177   1.035   0.500
 1227   221  17.554   0.860   0.686
 1228   221  17.971   1.050   1.316
 1230   221  17.814   0.687  -0.084
 1231   221  15.557   0.531  -0.031
 1232   221  17.378   0.821   0.236
 1233   221  17.166   0.806   0.245
 1250   221  17.585   0.728   0.314
 1252   221  14.578   0.486  -0.032
 1253   221  17.310   0.744   0.410
 1254   221  17.479   0.568   0.041
 1256   221  18.035   0.505  -0.050
 1257   221  17.066   0.840   0.748
 1258   221  17.489   0.846   0.343
 1259   221  18.542   0.982         
 1260   221  18.023   0.858   0.931
 1261   221  18.360   0.983  -0.352
 1262   221  18.813   0.932         
 1263   221  17.891   0.864   0.706
 1264   221  17.271   0.552   0.190
 1265   221  16.935   1.133   0.961
 1268   221  16.130   0.647   0.067
 1269   221  17.583   0.778   0.469
 1270   221  17.321   0.702   0.311
 1271   221  15.782   0.834   0.376
 1274   221  17.820   0.887   0.150
 1275   221  18.131   0.640   0.163
 1276   221  16.200   0.658   0.046
 1277   221  18.212   1.110   0.510
 1281   221  17.828   0.534  -0.066
 1302   221  17.950   0.866   0.368
 1303   221  18.181   0.674   0.065
 1304   221  17.232   0.678   0.143
 1305   221  15.239   0.436   0.061
 1312   221  17.233   0.694   0.158
 1315   221  18.495   1.434         
 1317   221  18.125   0.926   0.563
 1318   221  16.703   0.656   0.165
 1319   221  18.776   1.021  -0.035
 1320   221  16.991   1.042   1.269
 1321   221  18.186   1.322         
 1322   221  17.914   0.941         
 1323   221  16.398   0.756   0.338
 1325   221  16.952   0.833   0.370
 1326   221  18.120   1.534   0.276
 1328   221  16.722   0.648   0.342
 1329   221  14.927   1.080   0.888
 1330   221  18.155   0.740   0.956
 1332   221  17.752   0.608  -0.169
 1333   221  16.871   0.710   0.069
 1334   221  17.543   1.280         
 1335   221  17.912   0.464   0.253
 1337   221  17.145   0.670   0.376
 1338   221  15.582   0.456   0.090
 1339   221  16.110   0.536   0.008
 1340   221  14.979   0.388   0.153
 1351   221  17.211   0.859   0.387
 1352   221  17.900   0.831   0.461
 1353   221  18.107   0.937   1.011
 1354   221  17.676   0.427   0.102
 1355   221  17.495   0.415   0.229
 1358   221  17.118   0.545   0.332
 1368   221  18.235   0.943         
 1369   221  18.084   0.506   0.265
 1372   221  18.108   0.871   0.779
 1373   221  16.532   0.942   1.205
 1374   221  18.471   0.789         
 1375   221  17.570   0.703   0.275
 1376   221  17.527   0.803   0.775
 1377   221  16.303   0.577   0.096
 1378   221  17.821   1.147         
 1380   221  15.989   0.747   0.387
 1381   221  14.625   0.438   0.259
 1385   221  18.533   0.989         
 1400   221  18.579   0.984         
 1401   221  18.106   0.422   0.259
 1402   221  18.351   0.702   0.412
 1404   221  15.777   0.808   0.308
 1405   221  16.529   0.950   0.198
 1406   221  17.470   1.191   1.654
 1407   221  16.692   0.841   0.634
 1408   221  15.719   0.973   0.577
 1409   221  14.872   0.736   0.174
 1410   221  15.938   0.610   0.392
 1413   221  15.107   0.653   0.166
 1416   221  17.362   1.091   0.492
 1417   221  17.832   1.230   0.759
 1420   221  18.499   1.132         
 1421   221  15.278   0.570   0.110
 1422   221  16.317   0.718   0.081
 1423   221  15.522   0.619   0.106
 1425   221  16.846   0.792   0.188
 1426   221  15.152   0.524   0.046
 1427   221  17.679   0.937   0.446
 1428   221  17.708   0.798  -0.071
 1429   221  16.980   0.841   0.454
 1431   221  17.453   1.030   0.314
 1432   221  17.189   0.821  -0.005
 1433   221  16.592   1.038   0.867
 1435   221  17.052   0.636   0.171
 1437   221  16.054   0.743  -0.012
 1438   221  16.514   0.787   0.062
 1443   221  15.795   0.637  -0.037
 1445   221  15.424   0.676   0.032
 1464   221  16.194   0.792  -0.034
 1470   221  16.942   0.869   0.093
 1471   221  15.989   0.660  -0.050
 1472   221  16.026   0.912  -0.006
 1473   221  15.073   0.848         
 1482   221  15.597   1.576   0.594
