UBV CCD observations

  No    Ref    V       B-V     U-B

 0001   451  11.026   1.159   1.003
 0002   451  11.353   1.321   1.194
 0003   451  11.430   0.096   0.103
 0004   451  11.467   1.741   1.785
 0005   451  11.860   1.240   1.066
 0006   451  11.870   1.817   1.893
 0007   451  11.872   0.391   0.107
 0008   451  11.987   0.439   0.080
 0009   451  12.283   1.125   0.563
 0010   451  12.526   0.580   0.032
 0011   451  12.604   0.597   0.136
 0012   451  12.694   0.309   0.194
 0013   451  12.790   1.323   0.954
 0014   451  13.006   0.577   0.172
 0015   451  13.061   1.255   0.852
 0016   451  13.144   1.585   1.427
 0017   451  13.199   0.492   0.007
 0018   451  13.200   1.363   1.016
 0019   451  13.211   1.256   0.805
 0020   451  13.225   1.406   1.262
 0021   451  13.258   1.305   0.844
 0022   451  13.466   1.755   1.782
 0023   451  13.573   1.072   0.621
 0024   451  13.599   1.254   0.817
 0025   451  13.602   1.253   0.810
 0026   451  13.623   0.668   0.174
 0027   451  13.645   1.286   0.953
 0028   451  13.663   0.297   0.162
 0029   451  13.673   1.131   0.623
 0030   451  13.699   1.113   0.668
 0031   451  13.705   1.277   0.853
 0032   451  13.742   1.975   2.020
 0033   451  13.745   0.558   0.257
 0034   451  13.804   1.224   0.750
 0035   451  13.815   1.239   0.759
 0036   451  13.842   0.404   0.348
 0037   451  13.857   0.590   0.052
 0038   451  13.865   0.216  -0.421
 0039   451  13.877   1.249   0.750
 0040   451  13.893   0.343   0.236
 0041   451  13.926   0.345   0.229
 0042   451  13.939   1.368   1.265
 0043   451  14.006   1.005   0.614
 0044   451  14.081   1.183   0.699
 0045   451  14.127   1.201   0.637
 0046   451  14.138   0.807   0.218
 0047   451  14.190   0.371   0.222
 0048   451  14.209   0.326   0.237
 0049   451  14.212   1.289   0.934
 0050   451  14.308   1.690   1.559
 0051   451  14.309   0.419   0.323
 0052   451  14.318   0.758   0.292
 0053   451  14.360   1.595   1.493
 0054   451  14.367   0.661   0.174
 0055   451  14.379   0.785   0.305
 0056   451  14.391   1.369   1.121
 0057   451  14.398   0.348   0.224
 0058   451  14.421   0.980   0.409
 0059   451  14.509   0.496   0.328
 0060   451  14.532   1.481   0.908
 0061   451  14.533   0.339   0.215
 0063   451  14.559   0.661   0.113
 0064   451  14.581   0.876   0.577
 0065   451  14.594   0.715   0.146
 0066   451  14.598   1.147   0.609
 0067   451  14.601   0.626   0.145
 0068   451  14.606   1.208   0.829
 0069   451  14.619   0.306   0.162
 0070   451  14.646   0.756   0.122
 0071   451  14.647   0.329   0.224
 0072   451  14.669   1.294   0.771
 0073   451  14.673   0.785   0.280
 0074   451  14.694   0.296   0.149
 0075   451  14.700   1.095   0.510
