UBV CCD observations

  No    Ref    V       B-V     U-B
 0303    86  17.827   1.321   0.666
 0591    86  17.835   1.439   0.675
 0690    86  17.854   1.229   1.027
 0419    86  17.872   2.482         
 0656    86  17.888   1.229   0.875
 0265    86  17.890   1.321   0.378
 0587    86  17.900   1.197   0.660
 0152    86  17.910   1.202   0.413
 0562    86  17.911   1.076   0.403
 0586    86  17.917   1.240   0.448
 0523    86  17.920   1.221   0.433
 0070    86  17.933   1.186   0.364
 0670    86  17.945   1.268   0.290
 0181    86  17.950   1.984   0.952
 0195    86  17.956   1.324   0.643
 0565    86  17.988   1.123   0.461
 0215    86  17.994   1.359   0.528
 0308    86  18.007   1.860         
 0267    86  18.011   1.220   0.384
 0390    86  18.017   1.317   0.645
 0356    86  18.039   1.327   0.609
 0124    86  18.061   1.210   0.899
 0526    86  18.068   2.058         
 0280    86  18.084   1.326         
 0203    86  18.090   1.321   0.567
 0193    86  18.094   1.193   0.971
 0268    86  18.099   1.374   0.756
 0642    86  18.116   1.191   0.513
 0278    86  18.129   1.386   0.865
 0439    86  18.131   1.229   0.297
 0218    86  18.148   1.144   0.054
 0648    86  18.165   1.429   0.622
 0708    86  18.168   1.050   0.620
 0717    86  18.188   2.088         
 0635    86  18.197   1.261   0.388
 0314    86  18.204   1.252   0.679
 0088    86  18.208   1.206   0.528
 0376    86  18.221   1.369   0.687
 0662    86  18.222   1.344   0.519
 0723    86  18.224   1.218         
 0101    86  18.226   1.322   0.491
 0360    86  18.229   1.354   0.379
 0321    86  18.236   1.358   0.575
 0468    86  18.255   1.337   0.380
 0011    86  18.257   1.425   0.930
 0183    86  18.262   1.330   0.611
 0516    86  18.276   1.471   0.499
 0467    86  18.286   1.484   0.802
 0629    86  18.292   1.304   1.104
 0478    86  18.304   1.303   0.432
 0023    86  18.306   1.359   0.609
 0091    86  18.307   1.583   0.421
 0550    86  18.311   1.507   0.828
 0560    86  18.314   1.445   0.445
 0449    86  18.339   1.960         
 0711    86  18.348   1.489   0.768
 0320    86  18.353   1.318   1.092
 0608    86  18.353   1.375   0.509
 0415    86  18.354   1.466   0.463
 0469    86  18.356   1.095   0.797
 0337    86  18.362   1.480   0.654
 0021    86  18.372   1.354   0.279
 0213    86  18.379   1.465   0.336
 0571    86  18.389   1.654   0.419
 0370    86  18.398   1.350   0.616
 0578    86  18.403   1.314   0.806
 0695    86  18.403   1.196   0.756
 0258    86  18.410   1.204   0.711
 0529    86  18.413   1.420   0.285
 0502    86  18.426   1.589         
 0574    86  18.447   1.451   0.994
 0569    86  18.457   1.566         
 0329    86  18.460   0.972   1.196
 0309    86  18.476   1.198         
 0612    86  18.478   1.280   0.613
 0063    86  18.491   1.122   0.776
