UBV CCD observations

  No    Ref    V       B-V     U-B

 0001   543  20.672   1.762  -0.360
 0002   543  20.362   2.732  -0.267
 0003   543  19.200  -0.562  -0.198
 0004   543  12.304   0.625  -0.083
 0005   543  19.049   0.634  -0.079
 0006   543  12.967   0.603  -0.015
 0007   543  12.950   0.659   0.011
 0008   543  13.152   0.632   0.014
 0009   543  12.969   0.658   0.037
 0010   543  11.364   0.352   0.065
 0011   543  12.976   0.625   0.073
 0012   543  13.144   0.501   0.086
 0013   543  12.910   0.502   0.087
 0014   543  18.276   1.144   0.103
 0015   543  13.561   0.582   0.150
 0016   543  12.875   0.563   0.152
 0017   543  10.415   0.603   0.197
 0018   543  11.766   0.935   0.197
 0019   543  13.851   0.801   0.208
 0020   543  13.994   0.703   0.217
 0021   543  14.653   0.721   0.222
 0022   543  12.709   0.619   0.231
 0023   543  13.832   0.752   0.254
 0024   543  13.802   0.775   0.269
 0025   543  13.174   0.827   0.305
 0026   543  15.939   0.889   0.319
 0027   543  11.722   0.622   0.325
 0028   543  13.992   0.868   0.340
 0029   543  14.706   0.822   0.409
 0030   543  15.163   0.852   0.468
 0031   543  14.491   1.142   0.478
 0032   543  14.879   0.834   0.490
 0033   543  14.537   1.005   0.494
 0034   543  15.037   1.002   0.522
 0035   543  14.216   1.003   0.525
 0036   543  14.333   0.818   0.525
 0037   543  15.541   0.732   0.549
 0038   543  14.635   0.974   0.552
 0039   543  14.344   1.337   0.562
 0040   543  19.867   1.917   0.576
 0041   543  15.265   0.901   0.598
 0042   543  15.097   0.826   0.604
 0043   543  14.647   0.955   0.604
 0044   543  17.826   2.360   0.614
 0045   543  15.548   0.945   0.618
 0046   543  17.219   1.219   0.619
 0047   543  15.500   0.256   0.621
 0048   543  14.883   0.886   0.629
 0049   543  19.322   1.857   0.641
 0050   543  15.025   0.995   0.647
 0051   543  17.689   0.901   0.650
 0052   543  15.880   1.036   0.653
 0053   543  14.318   1.266   0.659
 0054   543  15.481   0.944   0.663
 0055   543  14.669   0.902   0.715
 0056   543  15.702   1.228   0.721
 0057   543  15.772   1.226   0.767
 0058   543  19.124   2.082   0.774
 0059   543  16.693   1.346   0.779
 0060   543  15.850   1.205   0.813
 0061   543  14.942   0.922   0.821
 0062   543  15.392   1.192   0.826
 0063   543  15.036   0.967   0.833
 0064   543  13.403   0.928   0.836
 0065   543  16.017   1.209   0.847
 0066   543  15.672   1.185   0.850
 0067   543  17.269   1.338   0.851
 0068   543  14.941   0.957   0.854
 0069   543  17.722   1.285   0.858
 0070   543  16.635   1.280   0.870
 0071   543  15.477   1.026   0.871
 0072   543  17.015   1.357   0.874
 0073   543  15.316   1.015   0.879
 0074   543  14.597   1.110   0.885
 0075   543  17.135   1.236   0.887
 0076   543  16.589   1.447   0.891
 0077   543  18.004   1.642   0.894
 0078   543  16.368   1.336   0.896
 0079   543  17.093   1.211   0.903
 0080   543  17.699   1.361   0.907
 0081   543  18.759   1.643   0.915
 0082   543  14.722   0.981   0.917
 0083   543  17.527   1.510   0.919
 0084   543  18.944   2.068   0.922
 0085   543  16.990   1.389   0.925
 0086   543  16.267   1.285   0.931
 0087   543  15.036   1.074   0.939
 0088   543  19.039   1.702   0.942
 0089   543  16.455   1.357   0.946
 0090   543  16.960   1.448   0.960
 0091   543  16.375   1.097   0.961
 0092   543  17.407   1.445   0.973
 0093   543  17.029   1.415   0.975
 0094   543  17.132   1.395   0.976
 0095   543  16.944   1.466   0.993
 0096   543  16.063   1.324   0.995
 0097   543  17.426   1.432   0.996
 0098   543  16.903   1.579   0.999
 0099   543  15.339   1.123   1.005
 0100   543  18.596   1.852   1.006
 0101   543  15.694   1.151   1.009
 0102   543  19.399   1.992   1.014
 0103   543  16.925   1.256   1.017
 0104   543  18.934   1.690   1.019
 0105   543  15.533   1.146   1.023
 0106   543  17.097   1.491   1.034
 0107   543  15.970   1.212   1.039
 0108   543  17.384   1.410   1.039
 0109   543  16.469   1.307   1.040
 0110   543  17.009   1.316   1.042
 0111   543  17.725   1.454   1.046
 0112   543  15.851   1.393   1.048
 0113   543  16.059   1.416   1.049
 0114   543  17.022   1.281   1.051
 0115   543  16.549   1.415   1.051
 0116   543  17.971   1.534   1.052
 0117   543  17.003   1.353   1.055
 0118   543  18.089   1.521   1.056
 0119   543  17.262   1.455   1.057
 0120   543  17.387   1.579   1.060
 0121   543  18.489   1.545   1.069
 0122   543  17.735   1.366   1.077
 0123   543  18.352   1.562   1.083
 0124   543  16.970   1.309   1.084
 0125   543  15.131   1.175   1.088
 0126   543  17.450   1.459   1.088
 0127   543  15.955   1.447   1.104
 0128   543  15.587   1.115   1.104
 0129   543  16.771   1.515   1.109
 0130   543  17.538   1.456   1.112
 0131   543  17.576   1.362   1.115
 0132   543  16.589   1.425   1.115
 0133   543  16.909   1.394   1.116
 0134   543  17.184   1.600   1.117
 0135   543  18.572   1.802   1.118
 0136   543  17.388   1.581   1.118
 0137   543  17.482   1.719   1.119
 0138   543  16.363   1.484   1.121
 0139   543  17.135   1.384   1.126
 0140   543  17.386   1.564   1.128
 0141   543  16.808   1.465   1.129
 0142   543  17.276   1.586   1.130
 0143   543  16.118   1.385   1.134
 0144   543  16.590   1.511   1.136
 0145   543  16.434   1.214   1.147
 0146   543  18.507   1.700   1.151
 0147   543  17.656   1.686   1.167
 0148   543  13.778   1.117   1.167
 0149   543  17.516   1.559   1.190
 0150   543  17.284   1.456   1.191
 0151   543  17.662   1.607   1.193
 0152   543  13.788   1.070   1.196
 0153   543  16.310   1.188   1.196
 0154   543  16.691   1.630   1.214
 0155   543  17.092   1.569   1.223
 0156   543  15.883   1.479   1.234
 0157   543  18.085   1.688   1.235
 0158   543  18.070   1.469   1.241
 0159   543  17.873   1.690   1.243
 0160   543  17.721   1.764   1.247
 0161   543  17.016   1.485   1.250
 0162   543  18.692   1.592   1.251
 0163   543  17.928   1.622   1.252
 0164   543  18.476   1.739   1.258
 0165   543  15.886   1.481   1.268
 0166   543  16.924   1.609   1.271
 0167   543  15.037   1.449   1.271
 0168   543  16.731   1.584   1.274
 0169   543  18.543   2.033   1.275
 0170   543  17.895   1.604   1.281
 0171   543  16.961   1.594   1.283
 0172   543  17.701   1.646   1.285
 0173   543  18.189   1.843   1.287
 0174   543  16.909   1.361   1.288
 0175   543  17.774   1.662   1.294
 0176   543  16.883   1.368   1.297
 0177   543  17.056   1.575   1.301
 0178   543  15.275   1.118   1.305
 0179   543  16.297   1.570   1.325
 0180   543  16.356   1.580   1.345
 0181   543  17.195   1.684   1.354
 0182   543  18.563   1.860   1.354
 0183   543  16.886   1.488   1.370
 0184   543  17.449   1.744   1.378
 0185   543  17.031   1.757   1.381
 0186   543  17.486   1.608   1.385
 0187   543  16.280   1.677   1.387
 0188   543  15.433   1.186   1.395
 0189   543  13.781   1.194   1.397
 0190   543  17.921   1.737   1.403
 0191   543  17.401   1.695   1.410
 0192   543  18.308   1.754   1.421
 0193   543  16.348   1.303   1.437
 0194   543  17.896   1.666   1.456
 0195   543  16.785   1.602   1.457
 0196   543  17.848   1.899   1.458
 0197   543  18.561   1.644   1.462
 0198   543  17.905   1.538   1.467
 0199   543  15.628   1.317   1.467
 0200   543  16.028   1.266   1.468
 0201   543  13.781   1.166   1.472
 0202   543  16.657   1.818   1.490
 0203   543  16.978   1.391   1.500
 0204   543  16.736   1.799   1.525
 0205   543  16.470   1.363   1.528
 0206   543  16.430   1.400   1.557
 0207   543  17.563   1.570   1.578
 0208   543  16.747   1.439   1.580
 0209   543  18.439   1.880   1.580
 0210   543  16.901   1.863   1.593
 0211   543  17.111   1.569   1.634
 0212   543  17.451   2.064   1.649
 0213   543  10.707   1.240   1.660
 0214   543  16.674   1.618   1.673
 0215   543  17.932   1.914   1.686
 0216   543  18.745   1.817   1.695
 0217   543  16.688   1.421   1.709
 0218   543  16.740   1.454   1.712
 0219   543  16.744   1.687   1.713
 0220   543  16.813   1.570   1.716
 0221   543  16.225   1.903   1.939
 0222   543  15.231   1.868   1.990
 0223   543  14.967   1.910   2.045
 0224   543  15.210   1.906   2.125
 0225   543  13.614   1.829   2.140
 0226   543  13.906   1.917   2.170
 0227   543  16.158   2.207   2.182
 0228   543  14.926   2.111   2.189
