UBV CCD observations

  No    Ref    V       B-V     U-B

 1101   163  15.631   0.361   0.041
 1101   284  15.668   0.292   0.015
 1102   163  17.606   0.597   0.132
 1102   284  17.701   0.447   0.065
 1103   163  16.812   0.496   0.035
 1103   284  16.832   0.425   0.086
 1104   163  17.340   0.581   0.034
 1104   284  17.382   0.559   0.047
 1105   163  16.611   0.479  -0.012
 1105   284  16.644   0.450  -0.080
 1106   163  14.868   0.416   0.078
 1106   284  14.879   0.402   0.043
 1107   163  16.371   0.521   0.028
 1107   284  16.414   0.511  -0.008
 1108   163  14.601   0.845   0.558
 1108   284  14.632   0.837   0.562
 1111   163  15.584   0.385   0.074
 1111   284  15.603   0.352   0.076
 1112   163  12.961   0.958   0.776
 1112   284  13.007   0.917   0.776
 1113   163  14.571   0.397   0.121
 1113   284  14.605   0.343   0.116
 1114   163  15.653   0.894   0.599
 1114   284  15.751   0.861   0.636
 1115   163  16.091   0.426   0.046
 1115   284  16.133   0.357   0.054
 1116   163  15.450   0.397   0.081
 1116   284  15.512   0.329   0.032
 1117   163  17.306   0.557   0.081
 1117   284  17.352   0.554  -0.196
 1118   163  17.369   0.679   0.274
 1118   284  17.454   0.627   0.083
 1119   163  16.262   0.470   0.034
 1119   284  16.343   0.378   0.085
 1120   163  15.403   0.369   0.077
 1120   284  15.477   0.288   0.019
 1121   163  16.401   0.433   0.043
 1121   284  16.430   0.357   0.039
 1122   163  15.219   0.378   0.076
 1122   284  15.286   0.289   0.048
 1123   163  16.691   0.549   0.096
 1123   284  16.722   0.517   0.161
 1124   163  15.398   0.365   0.066
 1124   284  15.458   0.264   0.087
 1125   163  14.914   0.402   0.092
 1125   284  14.974   0.317   0.085
 1126   163  16.267   0.448   0.020
 1126   284  16.352   0.355   0.017
 1127   163  15.055   0.383   0.040
 1127   284  15.118   0.294   0.023
 1128   163  17.660   0.579   0.145
 1128   284  17.716   0.554   0.190
 1129   163  14.872   0.572   0.136
 1129   284  14.930   0.498   0.136
 1130   163  16.900   0.608   0.122
 1130   284  16.953   0.497   0.169
 1131   163  17.129   0.538   0.036
 1131   284  17.160   0.504   0.053
 1134   163  15.060   0.386   0.075
 1134   284  15.132   0.287   0.074
 1135   163  15.142   0.379   0.040
 1135   284  15.173   0.315   0.048
 1136   163  14.670   0.420   0.065
 1136   284  14.715   0.335   0.030
 1137   163  17.253   0.553   0.054
 1137   284  16.965   0.579   0.381
 1201   163  15.974   0.927   0.899
 1201   284  16.039   0.874   0.862
 1202   163  17.030   0.516   0.046
 1202   284  17.074   0.454  -0.137
 1203   163  14.343   0.177   0.148
 1203   284  14.368   0.097   0.124
 1204   163  16.295   0.434   0.002
 1204   284  16.349   0.371  -0.075
 1205   163  15.649   0.375   0.055
 1205   284  15.702   0.327   0.042
 1206   163  15.435   1.047   1.103
 1206   284  15.457   1.010         
 1207   163  15.448   0.397   0.074
 1208   163  17.098   0.514   0.009
 1209   163  15.627   0.401   0.049
 1210   163  17.091   0.536  -0.002
 1215   163  17.549   0.578   0.153
 1216   163  15.724   0.449   0.014
 1216   284  15.784   0.360  -0.001
 1217   163  15.962   0.783   0.463
 1217   284  16.097   0.729   0.534
 1218   163  15.358   0.409   0.015
 1218   284  15.420   0.314   0.004
 1219   163  15.045   0.379   0.077
 1219   284  15.108   0.279   0.052
 1223   163  16.330   0.435   0.052
 1224   163  14.938   0.417   0.048
 1224   284  15.006   0.295   0.056
 1225   163  15.119   0.395   0.079
 1225   284  15.189   0.291   0.062
 1226   284  14.974   0.298   0.074
 1227   163  17.895   0.744   0.245
 1227   284  17.864   0.831   0.414
 1228   163  16.255   0.426   0.011
 1228   284  16.238   0.350   0.074
 1229   163  13.118   1.011   0.917
 1229   284  13.204   0.931   0.939
 1231   163  16.066   0.474   0.026
 1231   284  16.137   0.342   0.076
 1232   163  17.470   0.760   0.498
 1232   284  17.533   0.709   0.545
 1233   163  15.310   0.902   0.732
 1233   284  15.400   0.788   0.702
 1234   163  17.270   0.580         
 1234   284  17.319   0.422   0.024
 1235   163  15.370   0.390         
 1235   284  15.459   0.219   0.082
 1236   163  17.580   0.630         
 1236   284  17.612   0.534   0.117
 1237   163  16.180   0.480         
