UBV CCD observations

  No    Ref    V       B-V     U-B
 0100   522  15.922   0.745   0.197
 0101   382  15.900   1.270  -0.040
 0101   522  16.016   1.121  -0.074
 0102   382  15.920   0.490   0.270
 0103   382  15.940   0.640   0.150
 0103   522  15.966   0.638   0.155
 0104   382  15.940   0.700   0.170
 0104   522  15.983   0.773   0.196
 0105   382  15.960   0.620   0.290
 0105   522  15.966   0.688   0.334
 0106   382  15.970   0.880   0.420
 0106   522  16.054   0.865   0.401
 0107   382  15.970   1.040   0.980
 0107   522  16.028   1.119   0.806
 0108   382  16.030   0.870   0.370
 0108   522  16.097   0.890   0.369
 0109   382  16.050   0.900   0.430
 0110   382  16.060   0.920   0.330
 0111   382  16.080   1.050   0.740
 0112   382  16.110   0.860   0.190
 0112   522  16.047   0.918   0.376
 0113   382  16.120   1.450   0.110
 0114   382  16.120   0.890   0.410
 0114   522  16.232   0.829   0.443
 0115   382  16.140   0.680   0.300
 0116   382  16.150   0.840   0.390
 0116   522  16.250   0.906   0.361
 0117   382  16.190   0.690   0.280
 0117   522  16.199   0.708   0.249
 0118   382  16.190   0.890   0.330
 0118   522  16.229   0.884   0.419
 0119   382  16.210   1.230  -0.150
 0120   382  16.220   0.680   0.030
 0121   382  16.230   0.570   0.270
 0121   522  16.291   0.647   0.318
 0122   382  16.280   0.670   0.320
 0123   382  16.300   0.730   0.190
 0123   522  16.351   0.723   0.234
 0124   382  16.310   0.820   0.280
 0124   522  16.367   0.794   0.296
 0125   382  16.320   0.800   0.250
 0125   522  16.387   0.792   0.263
 0126   382  16.320   0.700   0.120
 0126   522  16.370   0.718   0.125
 0127   382  16.340   1.290   0.230
 0127   522  16.283   1.350   0.559
 0128   382  16.350   0.800   0.360
 0129   382  16.380   0.670   0.420
 0129   522  16.460   0.727   0.462
 0130   382  16.400   0.680   0.180
 0130   522  16.442   0.722   0.226
 0131   382  16.440   1.190   0.120
 0132   382  16.450   0.710   0.100
 0132   522  16.518   0.751   0.218
 0132   522  16.568   0.688   0.123
 0133   382  16.460   0.770   0.210
 0133   522  16.470   0.901   0.456
 0134   382  16.490   0.820   0.220
 0135   382  16.490   0.820   0.350
 0136   382  16.490   0.740   0.170
 0137   382  16.510   1.300   0.040
 0137   522  16.538   1.287   0.140
 0138   382  16.560   1.330   0.080
 0138   522  16.559   1.242   0.253
 0500   522  17.843   1.176   0.412
 0501   522  13.326   0.684   0.276
 0502   522  18.823   1.121   1.088
 0503   522  13.772   0.319   0.316
 0504   522  18.545   1.104   0.427
 0505   522  17.993   0.913   0.312
 0506   522  16.338   0.913   0.390
 0507   522  19.780   1.449   0.353
 0508   522  19.470   1.503   0.442
 0509   522  16.599   0.730   0.608
 0510   522  19.230   1.269   0.354
 0511   522  18.090   1.134   0.589
 0512   522  17.683   1.110   0.601
 0513   522  17.645   0.997   0.474
 0514   522  17.081   2.345   1.694
 0515   522  15.372   0.699   0.428
 0516   522  18.242   0.898   0.424
 0517   522  18.376   1.002   0.496
 0518   522  15.694   0.511   0.417
 0519   522  16.279   0.863   0.086
 0520   522  17.881   0.927   0.438
 0521   522  17.531   1.006   0.631
 0522   522  12.949   1.816   1.496
 0523   522  17.023   0.976   0.692
 0524   522  17.087   0.848   0.374
 0525   522  17.100   0.696   0.303
 0526   522  16.759   0.814   0.352
 0527   522  15.736   1.383   1.285
 0528   522  16.291   1.167   0.752
 0529   522  15.933   0.451   0.428
 0530   522  17.144   0.878   0.241
 0531   522  17.255   0.807   0.392
 0532   522  16.987   0.939   0.526
 0533   522  15.941   0.851   0.325
 0534   522  15.880   0.657   0.230
 0535   522  14.815   0.775   0.324
 0536   522  14.281   0.923   0.502
 0537   522  17.819   0.893   0.410
 0538   522  17.566   1.088   0.753
 0539   522  12.873   1.286   1.041
 0540   522  18.093   1.069   0.625
 0541   522  18.171   0.921   0.641
 0542   522  13.193   0.244   0.302
 0543   522  15.935   1.462   1.367
 0544   522  19.264   1.382   0.855
 0545   522  20.084   1.681   0.503
 0546   522  15.194   1.366   1.014
 0547   522  15.046   0.613   0.239
 0548   522  18.160   1.235   0.586
 0549   522  15.960   0.609   0.445
 0550   522  18.150   1.010   0.521
 0551   522  11.247   0.519   0.226
 0552   522  14.505   1.760   1.962
 0553   522  17.714   0.883   0.391
 0554   522  15.556   1.243   1.008
 0555   522  18.646   1.138   0.366
 0556   522  16.491   0.777   0.383
 0557   522  17.877   0.948   0.530
 0558   522  18.768   1.118   0.873
 0559   522  16.498   0.741   0.451
 0560   522  18.858   1.056   0.769
 0561   522  16.126   1.119   0.925
 0562   522  18.066   0.906   0.690
 0563   522  14.439   0.502   0.336
 0564   522  15.092   0.531   0.383
 0565   522  18.063   1.550   0.822
 0566   522  16.650   0.710   0.236
 0567   522  17.780   0.951   0.367
 0568   522  16.912   0.761   0.287
 0569   522  13.655   0.250  -0.047
 0570   522  19.078   1.187   0.446
 0571   522  18.588   1.069   0.417
 0572   522  15.380   0.511   0.426
 0573   522  19.026   1.569   1.004
 0574   522  18.212   0.859   0.365
 0575   522  16.129   0.778   0.306
 0576   522  15.887   0.605   0.357
 0577   522  18.563   1.511   1.556
 0578   522  15.142   0.284   0.289
 0579   522  16.539   0.482   0.416
 0580   522  15.216   0.840   0.440
 0581   522  16.402   0.794   0.319
 0582   522  18.391   1.305   0.790
 0583   522  16.844   0.881   0.469
 0584   522  17.611   1.069   0.868
 0585   522  17.984   1.045   0.522
 0586   522  16.732   0.891   0.339
 0587   522  18.437   1.259   1.194
 0588   522  17.443   0.939   0.630
 0589   522  18.583   1.140   0.620
 0590   522  17.768   0.915   0.779
 0591   522  16.814   1.899   1.616
 0592   522  16.546   0.815   0.266
 0593   522  16.213   0.771   0.323
 0594   522  16.432   0.627   0.221
 0595   522  17.715   1.167   0.689
 0596   522  18.359   1.106   1.160
 0597   522  13.733   1.170   0.808
 0598   522  15.928   0.741   0.203
 0599   522  17.562   1.040   0.686
 0600   522  13.082   0.381   0.242
 0601   522  17.069   0.903   0.381
 0602   522  18.872   1.146   0.773
 0603   522  17.963   1.050   0.463
 0604   522  13.436   0.511   0.223
 0605   522  18.025   0.912   0.525
 0606   522  16.919   0.684   0.380
 0607   522  17.153   0.844   0.231
 0608   522  14.636   0.593   0.539
 0609   522  17.915   0.878   0.190
 0610   522  17.804   1.106   0.706
 0611   522  13.152   0.395   0.362
 0612   522  18.661   1.126   0.909
 0613   522  18.067   0.831   0.242
 0614   522  18.520   1.156   0.875
 0615   522  17.778   0.972   0.402
 0616   522  14.980   0.441   0.392
 0617   522  16.862   0.830   0.422
 0618   522  17.697   1.362   0.986
 0619   522  15.850   0.637   0.243
 0620   522  15.827   0.738   0.299
 0621   522  17.363   0.941   0.282
 0622   522  17.791   0.923   0.522
 0623   522  18.117   0.866   0.671
 0624   522  17.935   0.902   0.476
 0625   522  18.235   1.324   0.915
 0626   522  12.037   1.130   0.752
 0627   522  17.588   0.714   0.277
 0628   522  17.544   0.870   0.552
 0629   522  17.484   0.988   0.599
 0630   522  15.050   0.980   0.596
 0631   522  13.370   1.324   0.940
 0632   522  16.188   0.992   0.596
 0633   522  17.159   0.913   0.452
 0634   522  13.844   0.222   0.172
 0635   522  16.479   0.867   0.329
 0636   522  19.140   1.114   0.783
 0637   522  18.505   0.984   0.270
 0638   522  17.584   0.844   0.371
 0639   522  13.267   0.213   0.245
 0640   522  17.232   1.010   0.582
 0641   522  16.963   1.963   2.226
 0642   522  16.242   0.951   0.433
 0643   522  15.417   1.558   1.269
 0644   522  16.099   0.529   0.394
 0645   522  17.921   0.921   0.025
 0646   522  16.178   0.684   0.225
 0647   522  16.451   1.287   1.156
 0648   522  15.380   0.647   0.224
 0649   522  16.040   0.755   0.334
 0650   522  18.262   0.937   0.562
 0651   522  13.107   0.844  -0.043
 0652   522  14.919   0.480   0.296
 0653   522  17.615   1.070   0.752
 0654   522  16.456   0.977   0.470
 0655   522  17.794   0.904   0.472
 0656   522  16.072   1.160   0.763
 0657   522  12.424   0.177   0.194
 0658   522  14.694   0.375   0.333
 0659   522  17.764   0.819   0.390
 0660   522  17.147   0.686   0.270
 0661   522  16.348   0.966   0.557
 0662   522  17.567   0.822   0.441
 0663   522  16.031   0.783   0.329
 0664   522  18.046   1.060   0.687
 0665   522  16.355   0.851   0.294
 0666   522  18.891   0.830   0.471
 0667   522  17.167   1.864   1.345
 0668   522  14.892   0.687   0.255
 0669   522  17.791   0.907   0.267
 0670   522  16.773   0.853   0.402
 0671   522  17.683   0.872   0.348
 0672   522  18.452   1.050   0.950
 0673   522  15.909   0.548   0.351
 0674   522  17.596   0.920   0.477
 0675   522  16.010   1.564   1.346
 0676   522  17.846   1.062   0.487
 0677   522  17.916   1.109   0.839
 0678   522  16.525   0.647   0.232
 0679   522  15.781   0.596   0.181
 0680   522  19.366   1.201   1.182
 0681   522  16.148   0.577   0.268
 0682   522  14.998   0.352   0.388
 0683   522  16.722   0.926   0.469
 0684   522  16.188   0.685   0.263
 0685   522  16.219   0.820   0.372
 0686   522  12.293   0.501   0.251
 0687   522  16.281   0.929   0.847
 0688   522  17.612   1.018   0.871
 0689   522  17.682   1.022   0.462
 0690   522  16.781   0.703  -0.047
 0691   522  18.900   1.210   0.615
 0692   522  15.919   0.769   0.455
 0693   522  16.497   0.701   0.572
 0694   522  18.339   0.912   0.350
 0695   522  17.159   0.743   0.519
 0696   522  14.542   0.272   0.083
 0697   522  16.752   0.932   0.544
 0698   522  16.130   1.064   1.096
 0699   522  18.947   1.081   0.935
 0700   522  17.172   0.644   0.257
 0701   522  17.579   1.020   0.384
 0702   522  17.443   1.007   0.297
 0703   522  16.148   0.431   0.442
 0704   522  17.648   1.003   0.474
 0705   522  17.646   0.774   0.295
 0706   522  16.701   1.158   0.380
 0707   522  16.227   0.691   0.226
 0708   522  18.420   1.029   0.524
 0709   522  18.388   1.023   0.456
 0710   522  15.067   0.362   0.061
 0711   522  18.712   1.063   0.497
 0712   522  18.494   0.898   0.293
 0713   522  17.235   0.836   0.289
 0714   522  18.796   1.157   0.584
 0715   522  17.193   0.540   0.111
 0716   522  16.042   0.825   0.401
 0717   522  19.279   1.157   0.786
 0718   522  15.845   0.873   0.421
 0719   522  14.663   0.699   0.249
 0720   522  18.414   1.050  -0.016
 0721   522  16.424   0.900   0.382
