UBV CCD observations

  No    Ref    V       B-V     U-B

 0001   556   9.777   1.393   1.486
 0003   556  11.051   0.562   0.007
 0004   556  10.922   0.123   0.127
 0005   556  12.046   1.633   1.389
 0006   556  11.816   1.003   0.662
 0007   556  12.027   1.223   0.938
 0008   556  12.206   0.415  -0.054
 0011   556  12.534   0.492  -0.071
 0012   556  13.198   1.842   1.961
 0013   556  12.597   0.475  -0.141
 0015   556  12.859   0.680   0.127
 0018   556  12.979   0.489  -0.051
 0025   556  13.392   1.215   0.774
 0027   556  13.246   0.735   0.249
 0032   556  13.305   0.582   0.022
 0033   556  13.157   0.440  -0.048
 0035   556  13.363   0.631   0.076
 0038   556  13.483   0.498  -0.083
 0039   556  13.515   0.487  -0.009
 0040   556  13.448   0.515  -0.053
 0042   556  13.791   0.823   0.389
 0043   556  14.007   1.583   1.559
 0044   556  13.551   0.430  -0.047
 0045   556  14.075   1.709   1.857
 0046   556  13.778   0.630   0.100
 0047   556  13.797   0.716   0.195
 0048   556  13.961   1.244   0.852
 0049   556  13.709   0.654   0.041
 0052   556  14.099   1.298   0.948
 0053   556  13.927   0.505  -0.046
 0055   556  13.925   0.593   0.011
 0056   556  13.885   0.503   0.018
 0058   556  14.047   0.662   0.249
 0059   556  14.168   0.827   0.475
 0062   556  14.097   1.234   0.967
 0063   556  13.964   0.617  -0.024
 0064   556  14.113   0.726   0.146
 0065   556  14.292   1.324   1.061
 0066   556  14.032   0.723   0.151
 0068   556  14.433   1.814   2.015
 0069   556  14.400   1.446   1.268
 0070   556  14.573   1.885   2.075
 0071   556  14.155   0.794   0.388
 0074   556  14.515   1.419   1.057
 0076   556  14.185   0.646   0.085
 0077   556  14.528   1.522   1.389
 0078   556  14.435   1.255   0.846
 0081   556  14.240   0.710   0.242
 0084   556  14.298   0.736   0.365
 0086   556  14.224   0.621   0.091
 0087   556  14.367   0.688   0.098
 0088   556  14.678   1.500   1.429
 0089   556  14.471   1.056   0.733
 0090   556  14.374   0.575   0.189
 0091   556  14.404   0.700   0.198
 0093   556  14.496   0.693   0.115
 0094   556  14.512   1.023   0.907
 0095   556  14.503   0.824   0.281
 0096   556  14.390   0.680   0.143
 0097   556  14.692   1.288   0.872
 0099   556  14.486   0.634   0.041
 0101   556  14.682   0.891   0.258
 0103   556  14.463   0.506   0.200
 0105   556  14.904   1.208   1.065
 0109   556  15.038   1.402   1.236
 0110   556  14.585   0.654   0.046
 0113   556  15.318   1.894   2.298
 0116   556  14.804   0.699   0.087
 0117   556  15.078   1.384   1.072
 0118   556  14.627   0.553   0.265
 0119   556  14.674   0.519   0.375
 0120   556  14.792   0.706   0.169
 0121   556  14.834   0.728   0.179
 0122   556  15.010   1.513   1.511
 0124   556  14.913   1.033   0.556
 0126   556  14.816   0.612   0.109
 0128   556  15.203   1.465   1.160
 0129   556  14.845   0.784   0.202
 0130   556  15.080   1.355   0.927
 0131   556  14.815   0.633   0.129
 0132   556  15.152   1.430   1.097
 0135   556  15.169   1.261   0.927
 0137   556  15.188   1.483   1.161
 0138   556  15.147   1.308   1.071
 0141   556  15.173   1.442   1.135
 0143   556  14.903   0.609   0.262
 0145   556  14.956   0.746   0.153
 0146   556  14.882   0.627   0.062
 0151   556  15.189   1.376   1.183
 0154   556  15.135   1.200   0.660
 0155   556  14.945   0.704   0.094
 0156   556  14.749   0.271  -0.001
 0157   556  14.931   0.704   0.157
 0158   556  14.960   0.833   0.266
 0163   556  14.913   0.747   0.142
 0165   556  15.068   0.700   0.062
 0173   556  15.067   0.720   0.117
 0175   556  14.989   0.715   0.221
 0177   556  15.146   0.713   0.142
 0182   556  15.173   0.862   0.464
 0183   556  15.090   0.672   0.051
 0185   556  15.110   0.648   0.175
 0186   556  15.258   0.826   0.287
 0188   556  15.540   1.502   1.231
 0189   556  15.020   0.530   0.373
 0190   556  14.884   0.153  -0.387
 0191   556  15.068   0.630   0.293
 0192   556  15.346   0.738   0.085
 0198   556  15.186   0.752   0.165
 0202   556  15.264   0.698   0.115
 0203   556  15.262   0.550   0.308
 0204   556  15.169   0.606   0.411
 0205   556  15.652   1.410   1.076
 0208   556  15.323   0.716   0.221
 0213   556  15.633   1.148   0.697
 0215   556  15.465   0.594   0.150
 0216   556  15.577   1.217   0.768
 0217   556  15.389   0.667   0.044
 0220   556  15.356   0.729   0.159
 0221   556  15.397   0.683   0.050
 0225   556  15.676   1.514   1.373
 0226   556  15.416   0.469   0.392
 0227   556  15.509   0.997   0.611
 0231   556  15.447   0.701   0.120
 0234   556  15.630   1.138   0.684
 0238   556  15.729   1.280   0.992
 0242   556  15.491   0.669   0.157
 0243   556  15.755   1.116   0.648
 0244   556  15.585   0.877   0.286
 0245   556  15.422   0.685   0.086
 0247   556  15.700   0.954   0.605
 0248   556  15.701   0.910   0.311
 0249   556  15.639   0.892   0.358
 0251   556  15.586   0.695   0.149
 0252   556  15.640   0.760   0.151
 0253   556  15.732   1.236   0.934
 0254   556  15.585   0.742   0.130
 0261   556  15.909   1.295   0.853
 0262   556  15.648   0.635   0.121
 0263   556  15.557   0.753   0.170
 0266   556  15.844   1.173   0.662
 0268   556  15.512   0.525   0.360
 0270   556  15.695   0.813   0.229
 0272   556  15.708   0.912   0.511
 0273   556  15.508   0.757   0.205
 0274   556  15.645   0.361   0.292
 0276   556  15.923   1.375   1.082
 0278   556  15.693   0.728   0.110
 0279   556  16.136   1.414   1.141
 0280   556  15.664   0.704   0.058
 0281   556  15.739   0.700   0.097
 0282   556  15.700   0.758   0.128
 0283   556  16.061   1.298   0.833
 0286   556  15.875   1.081   0.452
 0287   556  15.780   0.810   0.149
 0288   556  15.684   0.848   0.252
 0290   556  16.019   1.244   0.746
 0293   556  15.910   1.081   0.647
 0294   556  16.005   1.367   1.165
 0298   556  15.721   0.619   0.214
 0299   556  15.946   0.756   0.156
 0305   556  15.577   0.828   0.181
 0306   556  15.793   0.688   0.090
 0307   556  15.899   0.823   0.165
 0309   556  15.776   0.823   0.193
 0310   556  16.002   1.030   0.446
 0311   556  15.917   1.109   0.537
 0313   556  15.919   0.892   0.431
 0314   556  15.867   0.694   0.147
 0316   556  15.922   1.216   0.754
 0317   556  15.935   0.737   0.058
 0318   556  16.104   1.103   0.635
 0319   556  16.062   1.246   0.812
 0320   556  15.875   0.746   0.159
 0321   556  16.068   1.010   0.428
 0323   556  15.719   0.315   0.206
 0324   556  15.815   0.692   0.134
 0325   556  15.895   0.794   0.246
 0329   556  15.963   1.186   0.806
 0330   556  15.987   0.832   0.216
 0331   556  16.086   1.101   0.945
 0332   556  16.100   1.216   0.672
 0336   556  16.139   1.223   0.833
 0338   556  15.983   0.755   0.199
 0339   556  16.002   0.780   0.123
 0340   556  16.007   0.696   0.147
 0341   556  15.949   0.704   0.084
 0342   556  16.203   1.253   0.877
 0343   556  15.873   0.488   0.367
 0347   556  16.133   0.797   0.184
 0350   556  15.987   0.751   0.162
 0352   556  15.985   0.975   0.510
 0356   556  16.047   0.887   0.433
 0358   556  16.211   1.140   0.643
 0359   556  16.051   0.722   0.117
 0360   556  16.353   1.255   0.755
 0365   556  17.681   1.458   1.317
 0366   556  16.178   0.841   0.220
 0368   556  16.088   0.741   0.162
 0369   556  16.330   1.239   0.784
 0370   556  16.178   0.973   0.428
 0372   556  16.144   0.993   0.764
 0374   556  16.054   0.822   0.181
 0375   556  16.277   1.221   0.776
 0376   556  16.081   0.872   0.246
 0377   556  16.077   0.612   0.202
 0378   556  15.804   0.377   0.289
 0380   556  16.065   0.864   0.278
 0384   556  16.109   0.725   0.172
 0385   556  16.178   0.816   0.116
 0387   556  16.075   0.780   0.173
 0388   556  16.100   0.686   0.081
 0389   556  16.177   0.713   0.101
 0391   556  16.175   0.811   0.128
 0392   556  16.221   0.816   0.249
 0395   556  16.383   1.188   0.762
 0396   556  16.405   1.166   0.638
 0397   556  16.086   0.395   0.321
