UBV CCD observations

  No    Ref    V       B-V     U-B
 2021   334  15.994   1.143   0.927
 2022   334  15.964   1.348   0.947
 2023   334  17.857   1.334   0.026
 2024   334  15.597   1.282   1.138
 2025   334  15.549   1.321   0.721
 2026   334  16.389   1.513   1.000
 2027   334  16.035   0.997   0.638
 2028   334  18.609   0.540   0.344
 2029   334  14.405   0.844   0.559
 2030   334  18.817   0.906  -0.851
 2031   334  16.485   1.295   0.481
 2032   334  15.643   1.024   1.484
 2033   334  16.119   1.185   2.466
 2034   334  15.518   1.401   0.910
 2035   334  18.367   0.947   0.219
 2036   334  16.230   1.386   0.509
 2037   334  16.287   1.214   0.644
 2038   334  15.958   1.338   2.342
 2039   334  14.493   0.861   0.466
 2040   334  14.446   0.713   0.277
 2041   334  15.283   1.084   0.852
 2042   334  16.246   1.080   1.095
 2043   334  16.413   1.589   0.626
 2044   334  15.837   1.396   1.001
 2045   334  16.735   1.068   0.306
 2046   334  14.993   1.050   0.940
 2047   334  15.406   1.174   0.967
 2048   334  16.215   1.175   1.359
 2049   334  12.673   0.579   0.084
 2050   334  16.146   1.048   0.623
 2051   334  15.636   1.233   1.142
 2052   334  15.769   1.198   2.111
 2053   334  15.020   1.194   0.843
 2054   334  15.650   1.288   0.226
 2055   334  14.655   0.793   0.353
 2056   334  18.623   1.297   0.320
 2057   334  15.061   1.042   0.766
 2058   334  18.918   0.566  -0.788
 2059   334  16.238   1.218   1.084
 2060   334  14.041   0.707   0.340
 2061   334  15.810   1.230   0.993
 2062   334  15.593   0.893   0.345
 2063   334  18.261   2.372  -2.592
 2064   334  15.924   1.196   0.915
 2065   334  15.783   1.321   1.433
 2066   334  15.828   1.159   0.469
 2067   334  18.939   0.952  -1.049
 2068   334  17.170   1.673   0.087
 2069   334  15.759   1.173   0.722
 2070   334  16.096   1.218   0.595
 2071   334  15.435   1.100   0.526
 2072   334  16.220   1.328   1.336
 2073   334  15.230   1.024   0.527
 2074   334  15.964   1.143   0.983
 2075   334  15.979   1.091   0.619
 2076   334  16.939   1.250   2.183
 2077   334  14.900   0.893   0.692
 2078   334  14.356   0.746   0.545
 2079   334  16.401   1.504  -0.269
 2080   334  15.372   1.032   0.651
 2081   334  14.443   0.980   0.497
 2082   334  15.136   0.999   0.817
 2083   334  16.198   1.397   0.846
 2084   334  15.701   1.135   0.581
 2085   334  15.292   1.064   0.389
 2086   334  16.897   1.887  -0.506
 2087   334  16.560   1.892  -0.034
 2088   334  15.625   0.866   0.986
 2089   334  15.691   1.307   0.655
 2090   334  12.748   0.622   0.224
 2091   334  16.020   1.230   1.581
 2092   334  15.824   1.020   0.374
 2093   334  18.379   0.470  -0.489
 2094   334  16.269   1.408   0.165
 2095   334  16.723   1.503   0.797
 2096   334  17.987   1.185  -0.603
 2097   334  16.804   1.694   0.510
 2098   334  14.957   1.024   1.210
 2099   334  17.216   1.440   0.527
 2100   334  16.109   1.314   0.951
 2101   334  15.667   1.315   0.473
 2102   334  17.207   1.566   0.161
 2103   334  14.690   0.711   0.259
 2104   334  15.123   0.830   0.430
 2105   334  17.977   0.208   1.600
 2106   334  18.315   0.659  -0.133
 2107   334  15.957   1.140   1.050
 2108   334  17.997   2.117  -0.807
 2109   334  15.650   1.278   1.095
 2110   334  15.818   1.380   0.910
 2111   334  15.380   1.311   1.021
 2112   334  15.333   1.065   0.788
 2113   334  18.057   1.347  -0.078
 2114   334  17.674   1.459  -0.160
 2115   334  17.948  -2.943   4.584
 2116   334  15.874   1.498   0.842
 2117   334  15.039   0.906   0.766
 2118   334  15.096   1.042   0.829
 2119   334  14.298   0.834   0.567
 2120   334  17.704   2.307  -1.013
 2121   334  15.712   1.134   1.320
 2122   334  15.467   1.205   1.036
 2123   334  16.071   1.170   1.135
 2124   334  16.170   0.924   0.757
 2125   334  14.698   0.940   0.792
 2126   334  16.534   1.422   0.828
 2127   334  16.605   1.248   0.967
 2128   334  15.708   1.177   0.969
 2129   334  18.958   0.512   0.410
 2130   334  15.042   1.109   1.068
