UBV CCD observations

  No    Ref    V       B-V     U-B

 0001    32  12.593   0.714   0.374
 0002    32  13.092   0.743   0.394
 0003    32  12.522   0.765   0.360
 0004    32  13.209   0.710   0.370
 0006    32  14.929   0.846   0.253
 0009    32  12.987   0.703   0.380
 0010    32  14.235   0.784   0.247
 0011    32  13.906   0.746   0.284
 0027    32  12.205   0.985   0.401
 0028    32  12.142   1.250   0.959
 0029    32  13.550   0.698   0.401
 0031    32  12.917   0.698   0.344
 0057    32  13.439   0.721   0.410
 0058    32  14.167   0.753   0.365
 0059    32  13.523   0.716   0.408
 0060    32  14.328   0.787   0.315
 0061    32  12.887   0.721   0.382
 0063    32  16.480   1.210   0.508
 0064    32  14.619   0.851   0.325
 0065    32  14.126   0.734   0.231
 0066    32  13.153   0.708   0.403
 0069    32  12.271   1.251   0.984
 0071    32  14.573   0.821   0.361
 0072    32  14.362   0.824   0.426
 0073    32  13.913   0.854   0.348
 0074    32  14.648   0.849   0.270
 0123    32  14.056   0.765   0.247
 0124    32  14.951   0.937   0.264
 0125    32  14.224   0.974   0.319
 0178    32  13.726   0.721   0.357
 0317    32  16.472   1.387   0.477
 0318    32  17.818   1.343   0.683
 0319    32  15.314   1.046   0.424
 0328    32  15.931   1.393   0.708
 0334    32  17.322   1.209   0.084
 0335    32  16.194   1.101   0.119
 0337    32  17.175   1.226   0.876
 0342    32  14.100   0.854   0.275
 0344    32  14.039   0.776   0.286
 0348    32  16.947   1.137   2.042
 0354    32  17.118   1.134   0.283
 0355    32  14.215   0.825   0.320
 0358    32  17.437   1.377  -0.434
 0359    32  14.996   0.948   0.376
 0361    32  17.286   1.215  -0.010
 0362    32  15.925   1.898   1.821
 0364    32  17.092   1.417   0.401
 0365    32  12.829   0.674   0.286
 0368    32  16.891   1.137  -0.495
 0370    32  13.909   0.730   0.311
 0376    32  16.564   1.040   0.363
 0377    32  16.760   1.145   0.168
 0380    32  17.647   1.620   0.151
 0383    32  16.347   1.092   0.537
 0389    32  17.557   1.311   0.492
 0390    32  17.765   1.301  -0.470
 0391    32  15.949   1.109   0.664
 0393    32  18.247   1.500  -0.682
 0397    32  15.980   0.990   0.474
 0404    32  17.388   1.344  -0.538
 0408    32  17.449   1.487  -0.546
 0409    32  17.631   1.339  -0.732
 0411    32  16.895   1.084   0.035
 0418    32  17.346   1.293   0.274
 0424    32  17.059   1.191  -0.109
 0427    32  17.195   1.186   0.106
