UBV CCD observations

  No    Ref    V       B-V     U-B
 1186   293  16.718   0.793   0.103
 1187   293  16.922   0.909         
 1188   293  16.815   0.718   0.335
 1189   293  16.847   0.941   0.675
 1190   293  17.017   0.991         
 1192   293  17.462   1.957         
 1193   293  17.478   1.906         
 1194   293  16.797   0.713   0.195
 1195   293  16.830   0.776   0.448
 1196   293  16.842   0.774   0.105
 1197   293  16.872   0.851         
 1198   293  16.831   0.828   0.405
 1199   293  16.913   0.981   0.517
 1200   293  17.168   1.460         
 1201   293  16.890   0.685   0.730
 1202   293  16.868   0.896   0.417
 1203   293  16.903   0.890   0.651
 1205   293  16.854   0.852   0.379
 1206   293  16.914   0.716   0.407
 1207   293  17.383   1.761         
 1208   293  17.057   0.851         
 1209   293  16.945   0.796   0.238
 1210   293  17.111   0.922         
 1211   293  17.127   1.207   0.711
 1212   293  17.438   1.672         
 1213   293  17.035   0.799   0.680
 1214   293  16.988   0.820   0.447
 1215   293  17.299   1.288         
 1216   293  17.085   0.893         
 1217   293  17.262   1.011         
 1219   293  17.181   1.025         
 1220   293  17.561   1.943         
 1221   293  17.113   0.894   0.618
 1222   293  17.120   0.803   0.296
 1223   293  17.120   0.900         
 1224   293  17.099   0.860         
 1225   293  17.908   2.209         
 1226   293  17.248   1.034         
 1228   293  17.183   1.013         
 1229   293  17.142   0.828   0.351
 1230   293  17.257   1.075         
 1231   293  17.145   0.753   0.119
 1232   293  17.728   1.836         
 1233   293  17.238   0.954         
 1234   293  17.136   0.801   0.425
 1236   293  17.356   1.171         
 1237   293  17.163   0.812   0.511
 1238   293  17.269   0.934         
 1239   293  17.200   0.779         
 1240   293  17.222   0.939         
 1241   293  17.292   1.110         
 1242   293  17.209   0.696   0.201
 1243   293  17.322   1.032         
 1244   293  17.205   0.960         
 1245   293  17.348   1.044         
 1246   293  17.339   1.034         
 1248   293  17.284   0.862   0.307
 1251   293  17.463   1.244         
 1252   293  17.484   1.157         
 1253   293  17.307   0.734   0.416
 1254   293  17.389   0.906         
 1255   293  17.366   0.904         
 1256   293  17.347   0.793   0.283
 1257   293  17.412   0.922         
 1258   293  17.586   1.474         
 1259   293  17.536   1.178         
 1260   293  17.438   1.251         
 1261   293  17.268   0.766         
 1262   293  17.304   0.975         
 1263   293  17.390   0.963         
 1264   293  17.755   1.240         
 1265   293  17.463   1.129         
 1266   293  17.412   0.853   0.380
 1267   293  17.346   0.838   0.093
 1268   293  17.442   0.823         
 1269   293  17.528   1.020         
 1270   293  17.709   0.991         
 1272   293  17.679   1.231         
 1274   293  18.169   1.527         
 1276   293  17.447   0.866   0.267
 1277   293  17.535   0.944         
 1278   293  18.248   2.204         
 1279   293  17.970   1.444         
 1280   293  17.434   0.984         
 1282   293  17.844   1.436         
 1283   293  17.513   0.863         
 1284   293  17.554   0.907   0.647
 1285   293  17.556   0.932         
