UBV CCD observations

  No    Ref    V       B-V     U-B

0128	121	6.3	0.17	0.16
0132	121	6.34	1.02	0.9
0139	121	6.44	1.02	0.9
0160	121	6.52	0.01	0.02
0161	121	6.59	0.96	0.72
0162	121	6.61	0.01	0.02
0164	121	6.67	0.25	0.15
0165	121	6.73	0.1	0.05
0171	121	6.73	0.1	0.05
0174	121	6.75	0.19	0.11
0177	121	6.78	0.17	0.14
0179	121	6.78	0.26	0.13
0187	121	6.85	0.2	0.15
0188	121	6.9	0.96	0.74
0194	121	7.32	0.19	0.14
0196	121	7.44	0.25	0.14
0197	121	7.5	0.17	+0.10*
0201	121	7.54	0.25	0.12
0202	121	7.67	0.2	0.11
0204	121	7.69	0.19	0.15
0207	121	7.7	0.19	0.15
0208	121	7.72	0.22	0.09
0212	121	7.73	0.22	0.1
0213	121	7.8	0.22	0.09
0218	121	7.83	0.48	0.06
0219	121	7.84	0.21	0.16
0221	121	7.92	0.2	0.13
0222	121	7.92	0.24	0.1
0223	121	7.96	0.21	0.1
0226	121	8.01	0.19	0.13
0229	121	8.14	0.21	0.11
0234	121	8.14	0.21	0.11
0235	121	8.18	0.3	0.09
0238	121	8.25	0.23	0.09
0240	121	8.33	0.2	0.05
0241	121	8.38	0.11	-0.05
0242	121	8.48	0.26	0.08
0243	121	8.5	0.25	0.07
0247	121	8.53	0.3	0.07
0250	121	8.65	0.29	0.08
0252	121	8.68	0.32	0.15
0253	121	8.7	0.3	0.08
0257	121	8.71	0.32	0.11
0258	121	8.78	0.32	0.07
0259	121	8.89	0.32	0.04
0265	121	9.01	0.33	0.03
0267	121	9.04	0.36	0.04
0269	121	9.08	1.28	1.44
0270	121	9.16	1.03	0.81
0271	121	9.23	0.39	0.01
0276	121	9.23	0.91	0.61
0278	121	9.25	0.5	+0.01*
0281	121	9.31	0.49	0.02
0284	121	9.33	0.53	-0.09
0285	121	9.33	0.39	-0.02
0286	121	9.34	0.4	0.02
0287	121	9.37	0.42	0.01
0289	121	9.39	0.4	0
0291	121	9.42	0.41	0.01
0293	121	9.45	0.41	+0.00*
0294	121	9.45	0.48	0.03
0299	121	9.48	0.41	0
0300	121	9.55	0.43	0
0301	121	9.56	0.61	+0.06*
0306	121	9.59	0.41	0
0313	121	9.62	0.47	-0.02*
0315	121	9.67	0.42	-0.01*
0320	121	9.68	0.44	-0.02
0322	121	9.72	0.55	0.07
0324	121	9.77	0.45	-0.01
0325	121	9.78	0.47	0
0326	121	9.81	0.46	-0.01*
0335	121	9.81	0.51	-0.01*
0336	121	9.82	0.45	0.01
0338	121	9.84	0.57	+0.06*
0340	121	9.85	0.48	0.01
0346	121	9.85	0.48	0.01
0350	121	9.92	0.64	+0.02*
0351	121	9.92	0.52	-0.01*
0352	121	9.96	0.58	0.08
0358	121	10.11	0.5	0.03
0360	121	10.14	0.5	0.03
0362	121	10.16	0.51	+0.02*
0365	121	10.18	0.64	0.18
0366	121	10.22	0.92	0.54
0367	121	10.23	0.51	0.02
0368	121	10.24	0.54	0.07
0370	121	10.3	0.51	0
0373	121	10.3	0.52	0.03
0375	121	10.35	0.9	0.62
0377	121	10.41	0.56	0.07
0380	121	10.41	0.56	0.07
0382	121	10.45	0.92	+0.79*
0383	121	10.47	0.55	0.08
0384	121	10.51	0.55	+0.02*
0389	121	10.55	0.58	0.09
0390	121	10.56	0.51	-0.01
0394	121	10.58	0.57	0.06
0397	121	10.65	0.61	+0.12*
0400	121	10.66	0.58	0.09
0405	121	10.69	0.68	0.2
0406	121	10.72	0.6	0.1
0411	121	10.75	0.6	0.12
0430	121	10.8	0.6	0.09
0436	121	10.83	0.62	+0.12*
0439	121	10.87	0.68	0.19
0441	121	10.9	0.7	0.22
0455	121	10.93	0.62	0.13
0460	121	10.98	0.69	+0.20*
0534	121	11.01	0.78	0.38
0535	121	11.02	0.72	0.27
2002	121	11.03	0.65	0.17
2012	121	11.04	0.9	0.5
2014	121	11.06	0.67	+0.20*
2015	121	11.06	0.65	0.18
2018	121	11.17	0.66	0.19
2036	121	11.18	0.25	0.1
2037	121	11.18	0.79	+0.45*
2038	121	11.2	0.83	+0.45*
2040	121	11.26	0.67	0.19
2041	121	11.29	0.89	0.2
2042	121	11.3	0.52	-0.09
2044	121	11.31	0.7	0.24
2045	121	11.34	0.72	0.26
2046	121	11.41	0.73	0.25
2047	121	11.44	0.73	0.31
2048	121	11.45	0.72	0.29
2052	121	11.48	0.43	0.1
2055	121	11.52	0.74	0.31
2058	121	11.63	0.76	0.35
2060	121	11.63	0.67	0.23
2061	121	11.64	0.43	0.01
