UBV CCD observations

  No    Ref    V       B-V     U-B

2111	505	12.77	1.01	
2113	505	12.82	1.08	
2114	505	12.87	1.12	
2119	505	12.99	1.05	
2120	505	13	1.07	
2121	505	13.02	1.38	
2124	505	13.02	1.34	
2125	505	13.05	1.08	
2133	505	13.05	1.15	
2134	505	13.1	1.22	
2135	505	13.19	1.21	
2136	505	13.25	1.43	
2138	505	13.29	1.06	
2139	505	13.38	1.53	
2140	505	13.41	1.23	
2141	505	13.45	1.08	
2142	505	13.5	1.37	
2143	505	13.52	1.22	
2144	505	13.52	1.28	
2146	505	13.52	1.04	
2151	505	13.54	1.17	
2155	505	13.56	0.88	
2156	505	13.58	1.22	
2157	505	13.6	2.2	
2159	505	13.62	1.23	
2162	505	13.63	1.52	
2163	505	13.69	1.28	
2165	505	13.71	1.34	
2168	505	13.71	1.31	
2169	505	13.76	1.3	
2170	505	13.76	1.57	
2171	505	13.78	1.25	
2172	505	13.82	1.32	
2174	505	13.9	1.29	
2176	505	13.9	1.29	
2177	505	13.96	1.5	
2179	505	13.97	1.34	
2180	505	13.98	1.58	
2181	505	14	1.36	
2183	505	14	1.34	
2185	505	14.01	1.34	
2186	505	14.02	1.4	
2187	505	14.02	1.34	
2189	505	14.07	1.4	
2190	505	14.09	1.8	
2192	505	14.1	1.34	
2193	505	14.11	1.37	
2197	505	14.13	1.61	
2199	505	14.16	1.32	
2202	505	14.22	1.33	
2203	505	14.23	1.34	
2204	505	14.29	1.4	
2206	505	14.3	1.4	
2207	505	14.3	1.43	
2210	505	14.32	1.42	
2211	505	14.32	1.38	
2212	505	14.33	1.42	
2214	505	14.34	1.37	
2215	505	14.34	1.39	
2216	505	14.36	1.61	
2217	505	14.39	1.41	
2218	505	14.39	1.46	
2221	505	14.4	1.16	
2222	505	14.55	1.37	
2223	505	14.56	1.18	
2226	505	14.57	1.31	
2227	505	14.6	1.41	
2231	505	14.6	1.53	
2233	505	14.64	1.47	
2238	505	14.72	1.67	
2240	505	14.8	1.33	
2241	505	14.81	1.47	
2243	505	14.84	1.43	
2244	505	14.87	1.47	
2245	505	15.09	1.56	
2246	505	15.09	1.56	
2248	505	15.1	1.32	
2250	505	15.13	1.52	
2251	505	15.19	1.49	
2252	505	15.24	1.52	
2253	505	15.27	1.52	
2254	505	15.27	1.45	
2256	505	15.3	1.18	
2257	505	15.31	1.54	
2260	505	15.34	1.68	
2261	505	15.34	1.68	
2263	505	15.42	1.55	
2264	505	15.43	1.63	
2265	505	15.43	1.42	
2266	505	15.44	1.49	
2267	505	15.44	1.39	
2268	505	15.45	1.43	
2273	505	15.46	1.47	
2276	505	15.46	1.29	
2277	505	15.46	1.29	
2278	505	15.52	1.6	
2279	505	15.62	1.51	
2283	505	15.73	1.45	
2286	505	15.77	1.32	
2287	505	16.01	1.59	
2288	505	16.09	1.46	
2289	505	16.18	1.57	
2290	505	16.26	1.48	
2291	505	16.52	-0.2	
2292	505	16.55	1.57	
2293	505	16.58	1.52	
2296	505	16.61	1.63	
2297	505	17.22	0.82	
2298	505			
2299	505			
2300	505			
2301	505			
2304	505			
2305	505			
2307	505			
2308	505			
2309	505			
2311	505			
2312	505			
2315	505			
2316	505			
2318	505			
2319	505			
2320	505			
2321	505			
2322	505			
2323	505			
2324	505			
2325	505			
2326	505			
2329	505			
2330	505			
2331	505			
2332	505			
2334	505			
2335	505			
2336	505			
2337	505			
2339	505			
2340	505			
2341	505			
2342	505			
2344	505			
2346	505			
2347	505			
2348	505			
2350	505			
2351	505			
2353	505			
2354	505			
2355	505			
2356	505			
2357	505			
2358	505			
2359	505			
2360	505			
2361	505			
2362	505			
2364	505			
2366	505			
2370	505			
2372	505			
2373	505			
2374	505			
2376	505			
2377	505			
2379	505			
2381	505			
2382	505			
2383	505			
2384	505			
2385	505			
2388	505			
2389	505			
2390	505			
2391	505			
2392	505			
2393	505			
2395	505			
2396	505			
2397	505			
2398	505			
2400	505			
2402	505			
2403	505			
2404	505			
2405	505			
2406	505			
2407	505			
2408	505			
2409	505			
2410	505			
2411	505			
2413	505			
2414	505			
2415	505			
2416	505			
2417	505			
2418	505			
2420	505			
2421	505			
2422	505			
2423	505			
2424	505			
2426	505			
2427	505			
2428	505			
2430	505			
2432	505			
2433	505			
2434	505			
2435	505			
2438	505			
2439	505			
2440	505			
2441	505			
2442	505			
2443	505			
2444	505			
2445	505			
2446	505			
2450	505			
2452	505			
2453	505			
2454	505			
2455	505			
2456	505			
2457	505			
2461	505			
2463	505			
2464	505			
2466	505			
2467	505			
2468	505			
2469	505			
2471	505			
2472	505			
2473	505			
2474	505			
2475	505			
2476	505			
2477	505			
2478	505			
2479	505			
2480	505			
2483	505			
2487	505			
2489	505			
2490	505			
2492	505			
2493	505			
2497	505			
2498	505			
2499	505			
2500	505			
2503	505			
2504	505			
2505	505			
2509	505			
2511	505			
2512	505			
2513	505			
2514	505			
2515	505			
2516	505			
2518	505			
2519	505			
2521	505			
2523	505			
2524	505			
2525	505			
2527	505			
2531	505			
2532	505			
2533	505			
2534	505			
2535	505			
2537	505			
2538	505			
2540	505			
2541	505			
2542	505			
2543	505			
2545	505			
2550	505			
2552	505			
2554	505			
2555	505			
2556	505			
2557	505			
2558	505			
2559	505			
2560	505			
2562	505			
2563	505			
2567	505			
2568	505			
2569	505			
2572	505			
2574	505			
2575	505			
2576	505			
2577	505			
2578	505			
2581	505			
2583	505			
2584	505			
2587	505			
2588	505			
2589	505			
2591	505			
2592	505			
2593	505			
2594	505			
2595	505			
2596	505			
2597	505			
2598	505			
2599	505			
2600	505			
2601	505			
2602	505			
2604	505			
2606	505			
2607	505			
2609	505			
2610	505			
2615	505			
2617	505			
2621	505			
2623	505			
2625	505			
2628	505			
2631	505			
2632	505			
2633	505			
2635	505			
2637	505			
2638	505			
2639	505			
2640	505			
2641	505			
2643	505			
2644	505			
2646	505			
2647	505			
2648	505			
2649	505			
2650	505			
2651	505			
2652	505			
2654	505			
2655	505			
2656	505			
2657	505			
2658	505			
2665	505			
2667	505			
2668	505			
2670	505			
2672	505			
2673	505			
2674	505			
2677	505			
2678	505			
2679	505			
2680	505			
2681	505			
2682	505			
2684	505			
2685	505			
2686	505			
2687	505			
2688	505			
2689	505			
2690	505			
2691	505			
2692	505			
2693	505			
2695	505			
2696	505			
2697	505			
2700	505			
2701	505			
2702	505			
2703	505			
2705	505			
2706	505			
2707	505			
2708	505			
2709	505			
2710	505			
2711	505			
2713	505			
2714	505			
2718	505			
2719	505			
2721	505			
2722	505			
2723	505			
2725	505			
2726	505			
2727	505			
2728	505			
2730	505			
2731	505			
2732	505			
2735	505			
2736	505			
2738	505			
2739	505			
2740	505			
2741	505			
2742	505			
2743	505			
2744	505			
2745	505			
2746	505			
2747	505			
2748	505			
2750	505			
2751	505			
2752	505			
2756	505			
2757	505			
2758	505			
2759	505			
2760	505			
2761	505			
2762	505			
2763	505			
2764	505			
2765	505			
2767	505			
2768	505			
2769	505			
2771	505			
2772	505			
2773	505			
2774	505			
2775	505			
2776	505			
2777	505			
2778	505			
2779	505			
2780	505			
2781	505			
2784	505			
2786	505			
2787	505			
2788	505			
2789	505			
2790	505			
2791	505			
2792	505			
2793	505			
2794	505			
2796	505			
2797	505			
2798	505			
2799	505			
2800	505			
2802	505			
2803	505			
2805	505			
2806	505			
2810	505			
2811	505			
2813	505			
2815	505			
2817	505			
2819	505			
2820	505			
2821	505			
2822	505			
2823	505			
2824	505			
2825	505			
2826	505			
2827	505			
2828	505			
2829	505			
2830	505			
2832	505			
2833	505			
2834	505			
2837	505			
2838	505			
2840	505			
2841	505			
2842	505			
2843	505			
2845	505			
2846	505			
2847	505			
2848	505			
2851	505			
2852	505			
2853	505			
2855	505			
2857	505			
2861	505			
2865	505			
2866	505			
2868	505			
2869	505			
2870	505			
2872	505			
2873	505			
2874	505			
2876	505			
2877	505			
2882	505			
2883	505			
2884	505			
2885	505			
2886	505			
2887	505			
2888	505			
2889	505			
2890	505			
2892	505			
2893	505			
2895	505			
2897	505			
2898	505			
2901	505			
2902	505			
2903	505			
2905	505			
2906	505			
2907	505			
2908	505			
2909	505			
2910	505			
2913	505			
2914	505			
2915	505			
2916	505			
2917	505			
2919	505			
2920	505			
2924	505			
2925	505			
2926	505			
2927	505			
2928	505			
2929	505			
2930	505			
2931	505			
2932	505			
2933	505			
2935	505			
2938	505			
2939	505			
2940	505			
2941	505			
2942	505			
2944	505			
2948	505			
2950	505			
2951	505			
2953	505			
2954	505			
2955	505			
2956	505			
2957	505			
2960	505			
2961	505			
2962	505			
2963	505			
2964	505			
2967	505			
2968	505			
2969	505			
2970	505			
2973	505			
2974	505			
2977	505			
2979	505			
2980	505			
2982	505			
2983	505			
2984	505			
2985	505			
2986	505			
2987	505			
2989	505			
2991	505			
2992	505			
2993	505			
2996	505			
2997	505			
3000	505			
3002	505			
3004	505			
3005	505			
3006	505			
3007	505			
3008	505			
3010	505			
3011	505			
3013	505			
3014	505			
3015	505			
3016	505			
3017	505			
3018	505			
3019	505			
3020	505			
3023	505			
3024	505			
3025	505			
3026	505			
3027	505			
3028	505			
3031	505			
3032	505			
3034	505			
3036	505			
3037	505			
3039	505			
3040	505			
3041	505			
3043	505			
3045	505			
3047	505			
3049	505			
3051	505			
3052	505			
3053	505			
3054	505			
3056	505			
3058	505			
3059	505			
3062	505			
3063	505			
3064	505			
3065	505			
3066	505			
3067	505			
3070	505			
3073	505			
3074	505			
3075	505			
3077	505			
3078	505			
3079	505			
3080	505			
3082	505			
3083	505			
3086	505			
3087	505			
3089	505			
3090	505			
3091	505			
3092	505			
3093	505			
3094	505			
3095	505			
3097	505			
3100	505			
3101	505			
